time_sec,imsi,ue_x,ue_y,ue_z,serving_ecgi,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,40,401.003,342.762,2.000,001-01-0000001,-50.636,12.838,1.428,4
1.000,72,30.792,277.219,2.000,001-01-0000001,-48.278,13.799,1.262,2
1.000,87,204.402,166.887,2.000,001-01-0000001,-46.613,16.891,8.837,1
1.000,144,-205.930,81.907,2.000,001-01-0000001,-56.275,16.419,12.413,5
1.000,190,359.736,46.935,2.000,001-01-0000001,-49.340,12.668,-0.452,3
2.000,47,219.227,-37.894,2.000,001-01-0000001,-46.311,14.157,8.801,3
2.000,72,30.856,290.045,2.000,001-01-0000001,-50.499,13.168,13.354,2
2.000,87,213.408,176.591,2.000,001-01-0000001,-38.208,14.377,15.630,1
2.000,172,233.016,294.433,2.000,001-01-0000001,-38.980,10.503,12.737,2
2.000,190,366.971,49.431,2.000,001-01-0000001,-49.820,12.848,4.001,3
3.000,12,-28.512,131.765,2.000,001-01-0000001,-36.347,12.055,25.457,2
3.000,33,284.988,81.914,2.000,001-01-0000001,-47.201,11.312,2.826,2
3.000,47,220.658,-34.643,2.000,001-01-0000001,-37.389,15.643,13.480,2
3.000,53,804.007,26.385,2.000,001-01-0000001,-58.975,10.735,1.272,9
3.000,72,30.920,302.872,2.000,001-01-0000001,-56.105,8.653,8.601,3
3.000,87,222.414,186.296,2.000,001-01-0000001,-44.614,13.781,12.352,1
3.000,147,513.084,350.314,2.000,001-01-0000001,-60.582,8.717,0.261,5
3.000,172,241.894,300.500,2.000,001-01-0000001,-50.285,15.164,9.425,2
4.000,12,-25.110,132.830,2.000,001-01-0000001,-44.052,14.691,12.221,2
4.000,31,-188.526,349.035,2.000,001-01-0000001,-56.382,10.751,8.698,5
4.000,33,289.042,82.850,2.000,001-01-0000001,-45.311,13.316,-1.981,2
4.000,42,-14.788,206.495,2.000,001-01-0000001,-47.909,13.960,1.687,2
4.000,47,222.090,-31.393,2.000,001-01-0000001,-46.065,15.503,7.852,2
4.000,87,231.420,196.000,2.000,001-01-0000001,-42.049,15.394,10.222,1
4.000,134,135.905,400.813,2.000,001-01-0000001,-43.362,10.635,8.586,3
4.000,137,85.083,-16.814,2.000,001-01-0000001,-47.969,12.112,18.480,2
4.000,172,250.772,306.566,2.000,001-01-0000001,-42.014,16.240,25.611,3
5.000,12,-21.709,133.896,2.000,001-01-0000001,-37.650,13.553,28.462,2
5.000,17,-176.415,445.439,2.000,001-01-0000001,-58.881,10.072,-7.884,6
