time_sec,imsi,ue_x,ue_y,ue_z,serving_ecgi,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,13,846.596,136.552,2.000,001-01-0000001,-52.713,13.696,6.287,7
1.000,28,655.045,319.745,2.000,001-01-0000001,-57.029,7.775,-4.366,4
1.000,40,401.003,342.762,2.000,001-01-0000001,-15.465,15.308,36.598,1
1.000,52,406.707,331.911,2.000,001-01-0000001,-47.593,11.763,3.799,1
1.000,132,715.047,72.377,2.000,001-01-0000001,-60.186,10.444,2.066,6
1.000,134,124.474,392.937,2.000,001-01-0000001,-55.696,8.543,-0.708,3
1.000,144,-205.930,81.907,2.000,001-01-0000001,-61.549,15.901,7.139,8
1.000,148,832.959,813.336,2.000,001-01-0000001,-58.155,12.325,-1.639,9
1.000,164,245.623,570.064,2.000,001-01-0000001,-37.797,11.553,8.992,3
1.000,172,224.138,288.367,2.000,001-01-0000001,-46.110,11.604,0.442,2
1.000,190,359.736,46.935,2.000,001-01-0000001,-49.485,12.594,-0.597,4
1.000,199,465.953,468.599,2.000,001-01-0000001,-34.982,13.305,-2.263,2
2.000,14,0.802,1255.949,2.000,001-01-0000001,-58.405,6.958,-5.120,12
2.000,28,654.622,320.842,2.000,001-01-0000001,-49.152,14.179,3.818,4
2.000,40,406.404,354.629,2.000,001-01-0000001,-23.437,11.759,17.106,1
2.000,52,405.616,331.769,2.000,001-01-0000001,-31.581,14.457,17.215,1
2.000,61,-111.676,609.387,2.000,001-01-0000001,-60.929,12.664,-4.353,7
2.000,68,337.881,891.733,2.000,001-01-0000001,-56.610,11.537,3.915,7
2.000,72,30.856,290.045,2.000,001-01-0000001,-55.870,12.567,7.983,4
2.000,107,236.232,510.671,2.000,001-01-0000001,-42.274,11.399,10.323,3
2.000,155,306.586,682.132,2.000,001-01-0000001,-54.105,11.199,0.467,4
2.000,172,233.016,294.433,2.000,001-01-0000001,-30.335,10.614,21.382,2
2.000,190,366.971,49.431,2.000,001-01-0000001,-49.457,12.955,4.364,4
3.000,12,-28.512,131.765,2.000,001-01-0000001,-47.919,11.974,13.885,6
3.000,14,3.272,1252.441,2.000,001-01-0000001,-51.171,14.860,0.096,12
3.000,28,654.199,321.939,2.000,001-01-0000001,-53.108,9.993,2.337,4
3.000,40,411.804,366.496,2.000,001-01-0000001,-38.707,11.531,17.985,1
3.000,47,220.658,-34.643,2.000,001-01-0000001,-45.696,14.584,5.172,5
3.000,52,404.524,331.627,2.000,001-01-0000001,-33.244,12.541,22.829,1
3.000,53,804.007,26.385,2.000,001-01-0000001,-51.890,12.735,8.357,7
3.000,61,-106.561,609.617,2.000,001-01-0000001,-52.506,9.108,0.285,7
3.000,91,557.839,475.569,2.000,001-01-0000001,-41.483,11.666,0.589,3
3.000,97,68.833,675.450,2.000,001-01-0000001,-56.471,9.364,1.036,6
3.000,107,244.203,511.711,2.000,001-01-0000001,-51.843,8.431,-3.308,2
3.000,134,132.094,398.188,2.000,001-01-0000001,-49.464,12.076,-1.843,3
3.000,147,513.084,350.314,2.000,001-01-0000001,-40.538,12.634,20.304,2
3.000,172,241.894,300.500,2.000,001-01-0000001,-39.417,15.942,20.293,2
4.000,31,-188.526,349.035,2.000,001-01-0000001,-57.764,10.533,7.315,7
4.000,40,417.204,378.362,2.000,001-01-0000001,-17.237,13.637,26.357,1
4.000,47,222.090,-31.393,2.000,001-01-0000001,-54.431,12.815,-0.515,5
4.000,48,712.288,809.294,2.000,001-01-0000001,-48.417,13.230,2.891,7
4.000,52,403.433,331.484,2.000,001-01-0000001,-29.572,12.718,27.266,1
4.000,55,226.079,1340.131,2.000,001-01-0000001,-63.201,9.218,-6.455,13
4.000,87,231.420,196.000,2.000,001-01-0000001,-48.472,14.804,3.799,3
4.000,107,252.175,512.750,2.000,001-01-0000001,-49.884,10.416,1.610,2
4.000,132,734.744,73.592,2.000,001-01-0000001,-54.594,9.636,2.183,6
4.000,134,135.905,400.813,2.000,001-01-0000001,-36.867,10.832,15.082,3
4.000,147,501.274,347.857,2.000,001-01-0000001,-40.647,10.734,4.773,2
4.000,164,278.779,564.495,2.000,001-01-0000001,-46.832,12.565,0.286,3
4.000,172,250.772,306.566,2.000,001-01-0000001,-28.841,16.261,38.784,1
4.000,190,381.441,54.422,2.000,001-01-0000001,-55.141,12.180,-3.740,4
5.000,12,-21.709,133.896,2.000,001-01-0000001,-49.639,13.462,16.472,6
5.000,17,-176.415,445.439,2.000,001-01-0000001,-58.166,10.412,-7.169,7
5.000,31,-186.877,350.123,2.000,001-01-0000001,-53.657,11.961,5.021,7
5.000,40,422.604,390.229,2.000,001-01-0000001,-33.789,14.494,21.804,1
5.000,47,223.522,-28.142,2.000,001-01-0000001,-54.237,14.174,4.959,5
5.000,52,402.342,331.342,2.000,001-01-0000001,-31.558,14.660,25.034,1
5.000,87,240.425,205.704,2.000,001-01-0000001,-46.023,13.043,8.236,2
5.000,99,647.116,838.174,2.000,001-01-0000001,-54.512,16.402,-3.190,7
5.000,107,260.147,513.789,2.000,001-01-0000001,-47.075,14.694,2.268,2
5.000,113,510.478,181.814,2.000,001-01-0000001,-43.446,15.814,6.827,3
5.000,147,489.465,345.400,2.000,001-01-0000001,-42.388,13.837,4.489,2
5.000,164,289.831,562.638,2.000,001-01-0000001,-40.427,15.204,19.872,3
5.000,172,259.650,312.632,2.000,001-01-0000001,-41.593,14.232,12.294,1
5.000,189,-122.078,-164.857,2.000,001-01-0000001,-59.868,7.568,-0.013,9
5.000,197,1047.370,703.881,2.000,001-01-0000001,-62.287,5.047,-0.319,10
6.000,9,523.599,698.344,2.000,001-01-0000001,-59.212,13.823,-4.968,5
6.000,40,428.004,402.096,2.000,001-01-0000001,-44.992,12.467,3.694,1
6.000,52,401.250,331.200,2.000,001-01-0000001,-32.980,13.438,19.301,1
6.000,87,249.431,215.409,2.000,001-01-0000001,-48.943,19.334,9.154,2
6.000,100,829.308,359.307,2.000,001-01-0000001,-51.297,13.322,6.699,6
6.000,107,268.119,514.829,2.000,001-01-0000001,-43.814,13.699,15.522,2
6.000,113,515.595,181.406,2.000,001-01-0000001,-52.207,9.808,5.991,3
6.000,128,54.281,406.453,2.000,001-01-0000001,-44.794,12.638,16.619,4
6.000,147,477.655,342.943,2.000,001-01-0000001,-34.934,12.863,18.849,2
6.000,172,268.528,318.698,2.000,001-01-0000001,-38.402,7.915,16.529,1
6.000,193,-132.277,504.511,2.000,001-01-0000001,-48.698,12.471,-4.848,7
7.000,27,60.978,-75.905,2.000,001-01-0000001,-58.155,10.912,1.023,7
7.000,33,301.204,85.656,2.000,001-01-0000001,-52.302,10.299,0.164,3
7.000,52,400.159,331.058,2.000,001-01-0000001,-21.133,15.325,31.117,1
7.000,64,586.934,-103.734,2.000,001-01-0000001,-56.101,10.092,3.354,7
7.000,87,258.437,225.113,2.000,001-01-0000001,-52.036,12.668,3.309,2
7.000,107,276.091,515.868,2.000,001-01-0000001,-52.074,11.082,3.802,2
7.000,144,-160.037,110.334,2.000,001-01-0000001,-52.524,12.300,2.905,7
7.000,147,465.845,340.486,2.000,001-01-0000001,-38.146,11.044,26.790,1
7.000,155,335.079,704.831,2.000,001-01-0000001,-57.329,6.997,-1.560,5
7.000,172,277.406,324.764,2.000,001-01-0000001,-34.504,14.032,17.349,1
7.000,189,-98.920,-163.570,2.000,001-01-0000001,-70.176,12.800,-4.058,9
8.000,40,438.805,425.830,2.000,001-01-0000001,-29.102,13.364,7.882,1
8.000,52,399.067,330.915,2.000,001-01-0000001,-20.865,12.900,36.744,1
8.000,107,284.062,516.907,2.000,001-01-0000001,-40.319,10.081,9.732,2
8.000,134,151.146,411.314,2.000,001-01-0000001,-52.119,11.792,6.191,3
8.000,138,-195.007,1943.353,2.000,001-01-0000001,-62.114,10.222,4.680,22
8.000,147,454.036,338.029,2.000,001-01-0000001,-36.727,13.420,20.307,1
8.000,155,340.778,709.371,2.000,001-01-0000001,-61.038,9.336,-1.272,5
8.000,164,322.987,557.068,2.000,001-01-0000001,-52.301,8.625,4.524,3
8.000,172,286.284,330.830,2.000,001-01-0000001,-47.190,10.850,-0.105,1
9.000,38,805.357,177.217,2.000,001-01-0000001,-64.325,7.264,-0.988,6
9.000,40,444.205,437.697,2.000,001-01-0000001,-37.368,14.019,8.442,2
9.000,52,397.976,330.773,2.000,001-01-0000001,-26.418,16.106,30.142,1
9.000,72,31.306,379.830,2.000,001-01-0000001,-52.893,9.373,-1.879,4
9.000,87,276.449,244.522,2.000,001-01-0000001,-31.375,16.501,31.824,2
9.000,91,561.430,482.201,2.000,001-01-0000001,-48.219,12.530,4.934,3
9.000,107,292.034,517.947,2.000,001-01-0000001,-48.063,13.341,6.610,2
9.000,113,530.946,180.183,2.000,001-01-0000001,-48.451,16.575,7.799,3
9.000,134,154.956,413.939,2.000,001-01-0000001,-46.558,12.870,9.215,3
9.000,147,442.226,335.572,2.000,001-01-0000001,-37.660,19.851,15.199,1
9.000,164,334.038,555.212,2.000,001-01-0000001,-51.532,11.437,13.718,3
9.000,172,295.162,336.897,2.000,001-01-0000001,-42.101,12.303,1.336,1
9.000,189,-75.763,-162.284,2.000,001-01-0000001,-68.511,9.078,-3.555,9
10.000,52,396.885,330.631,2.000,001-01-0000001,-29.735,11.230,13.274,1
10.000,59,798.244,-228.725,2.000,001-01-0000001,-62.036,10.401,-5.889,9
10.000,68,404.229,856.253,2.000,001-01-0000001,-52.603,10.748,4.078,6
10.000,87,285.455,254.226,2.000,001-01-0000001,-49.803,12.866,13.916,2
10.000,100,824.019,418.826,2.000,001-01-0000001,-60.925,7.596,0.019,6
10.000,107,300.006,518.986,2.000,001-01-0000001,-50.512,12.609,6.725,2
10.000,147,430.417,333.115,2.000,001-01-0000001,-51.656,10.023,6.552,1
10.000,148,812.545,841.675,2.000,001-01-0000001,-57.572,6.484,1.402,9
10.000,172,304.040,342.963,2.000,001-01-0000001,-25.297,11.746,29.291,1
10.000,198,1058.738,1180.061,2.000,001-01-0000001,-61.081,6.795,-3.233,14
11.000,9,484.286,751.176,2.000,001-01-0000001,-40.947,14.237,9.140,5
11.000,33,317.420,89.397,2.000,001-01-0000001,-54.210,13.006,4.789,3
11.000,38,778.629,170.373,2.000,001-01-0000001,-54.006,10.428,-0.965,6
11.000,52,395.793,330.489,2.000,001-01-0000001,-30.474,13.243,24.242,1
11.000,68,412.522,851.818,2.000,001-01-0000001,-54.825,11.714,-2.215,6
11.000,87,294.461,263.930,2.000,001-01-0000001,-36.347,16.025,14.013,1
11.000,107,307.978,520.026,2.000,001-01-0000001,-58.107,13.657,0.848,2
11.000,113,541.180,179.367,2.000,001-01-0000001,-48.473,14.812,1.760,3
11.000,134,162.576,419.190,2.000,001-01-0000001,-46.592,8.756,-0.240,3
11.000,147,418.607,330.658,2.000,001-01-0000001,-48.439,17.177,6.040,1
11.000,172,312.918,349.029,2.000,001-01-0000001,-13.438,14.824,40.000,1
12.000,5,124.425,632.993,2.000,001-01-0000001,-53.449,12.159,-3.013,5
12.000,31,-175.331,357.735,2.000,001-01-0000001,-63.970,8.475,-0.445,7
12.000,33,321.474,90.333,2.000,001-01-0000001,-54.192,11.376,1.048,3
12.000,47,233.543,-5.387,2.000,001-01-0000001,-53.224,9.393,3.502,5
12.000,87,303.466,273.635,2.000,001-01-0000001,-22.676,14.153,34.749,1
12.000,100,821.375,448.586,2.000,001-01-0000001,-45.937,14.566,3.426,6
12.000,107,315.950,521.065,2.000,001-01-0000001,-45.251,12.990,10.043,2
12.000,113,546.297,178.959,2.000,001-01-0000001,-42.763,13.892,4.401,3
12.000,147,406.797,328.201,2.000,001-01-0000001,-32.842,10.974,14.061,1
12.000,172,321.796,355.095,2.000,001-01-0000001,-34.039,13.831,21.439,0
13.000,5,130.058,646.389,2.000,001-01-0000001,-65.739,8.736,-7.034,5
13.000,27,92.049,-50.390,2.000,001-01-0000001,-51.378,16.660,15.258,6
13.000,33,325.528,91.268,2.000,001-01-0000001,-60.189,11.772,2.235,3
13.000,38,751.900,163.530,2.000,001-01-0000001,-49.809,11.387,1.974,6
13.000,48,753.728,847.930,2.000,001-01-0000001,-59.889,12.005,-3.866,8
13.000,52,393.610,330.204,2.000,001-01-0000001,-39.066,10.339,2.916,1
13.000,87,312.472,283.339,2.000,001-01-0000001,-31.647,15.250,26.855,1
13.000,100,820.053,463.465,2.000,001-01-0000001,-55.203,10.489,-2.834,6
13.000,107,323.921,522.104,2.000,001-01-0000001,-39.469,12.893,6.703,2
13.000,113,551.414,178.552,2.000,001-01-0000001,-46.701,10.825,1.465,3
13.000,128,116.897,398.477,2.000,001-01-0000001,-49.789,14.377,2.833,3
13.000,147,394.988,325.744,2.000,001-01-0000001,-27.321,13.284,29.948,1
13.000,164,378.246,547.786,2.000,001-01-0000001,-49.236,10.889,4.668,3
13.000,172,330.674,361.161,2.000,001-01-0000001,-24.505,15.838,35.820,0
14.000,42,40.479,245.369,2.000,001-01-0000001,-61.826,10.754,-2.551,4
14.000,52,392.519,330.062,2.000,001-01-0000001,-36.457,16.231,8.737,1
14.000,87,321.478,293.043,2.000,001-01-0000001,-28.221,13.459,24.715,1
14.000,144,-106.496,143.499,2.000,001-01-0000001,-59.159,11.250,1.734,6
14.000,147,383.178,323.287,2.000,001-01-0000001,-32.766,13.023,25.067,1
14.000,164,389.298,545.929,2.000,001-01-0000001,-45.567,10.702,4.698,3
14.000,172,339.552,367.227,2.000,001-01-0000001,-19.950,11.325,39.648,0
15.000,5,141.323,673.183,2.000,001-01-0000001,-56.946,12.474,7.656,5
15.000,42,46.006,249.257,2.000,001-01-0000001,-57.227,12.784,-3.725,4
15.000,52,391.428,329.919,2.000,001-01-0000001,-24.581,13.290,21.604,1
15.000,87,330.484,302.748,2.000,001-01-0000001,-33.364,15.064,13.728,1
15.000,107,339.865,524.183,2.000,001-01-0000001,-46.108,12.311,5.376,2
15.000,120,681.788,97.283,2.000,001-01-0000001,-60.603,7.760,8.840,5
15.000,135,357.457,921.312,2.000,001-01-0000001,-60.947,7.103,-0.522,7
15.000,137,183.142,107.302,2.000,001-01-0000001,-63.234,11.947,-4.838,4
15.000,147,371.368,320.831,2.000,001-01-0000001,-45.186,14.721,12.394,0
15.000,155,380.670,741.150,2.000,001-01-0000001,-58.243,7.015,-1.378,5
15.000,164,400.350,544.073,2.000,001-01-0000001,-45.879,10.628,3.140,3
15.000,172,348.430,373.293,2.000,001-01-0000001,-6.567,14.443,38.330,0
16.000,28,648.697,336.197,2.000,001-01-0000001,-55.010,8.869,-3.018,4
16.000,33,337.691,94.074,2.000,001-01-0000001,-52.650,11.493,1.336,3
16.000,42,51.533,253.144,2.000,001-01-0000001,-48.734,13.069,7.015,4
16.000,48,767.541,860.809,2.000,001-01-0000001,-58.371,13.420,1.944,8
16.000,52,390.336,329.777,2.000,001-01-0000001,-28.225,16.367,23.454,1
16.000,71,471.921,733.592,2.000,001-01-0000001,-58.639,10.416,-1.567,5
16.000,87,339.490,312.452,2.000,001-01-0000001,-29.634,10.042,4.205,1
16.000,107,347.837,525.223,2.000,001-01-0000001,-46.692,18.779,17.240,2
16.000,147,359.559,318.374,2.000,001-01-0000001,-25.287,13.744,22.018,0
16.000,164,411.402,542.216,2.000,001-01-0000001,-58.877,8.787,-4.783,3
16.000,172,357.308,379.360,2.000,001-01-0000001,-20.213,16.196,35.140,0
17.000,5,152.589,699.977,2.000,001-01-0000001,-57.689,12.547,1.149,5
17.000,33,341.745,95.010,2.000,001-01-0000001,-44.083,14.131,11.097,3
