time_sec,ecgi,residual,status
60.0000,001-01-0000001,12.1839,NORMAL
60.0000,001-01-0000002,6.3499,NORMAL
60.0000,001-01-0000003,6.2492,NORMAL
60.0000,001-01-0000004,6.4006,NORMAL
60.0000,001-01-0000005,6.4374,NORMAL
60.0000,001-01-0000006,6.4739,NORMAL
60.0000,001-01-0000007,6.6542,NORMAL
60.0000,001-01-0000008,6.5439,NORMAL
60.0000,001-01-0000009,6.5207,NORMAL
60.0000,001-01-0000010,6.3274,NORMAL
60.0000,001-01-0000011,6.7349,NORMAL
60.0000,001-01-0000012,6.4309,NORMAL
60.0000,001-01-0000013,6.4144,NORMAL
60.0000,001-01-0000014,6.2088,NORMAL
60.0000,001-01-0000015,6.6623,NORMAL
60.0000,001-01-0000016,6.6346,NORMAL
60.0000,001-01-0000017,6.3628,NORMAL
60.0000,001-01-0000018,6.5151,NORMAL
60.0000,001-01-0000019,6.4847,NORMAL
60.0000,001-01-0000020,6.9150,NORMAL
60.0000,001-01-0000021,6.3043,NORMAL
60.0000,001-01-0000022,6.2202,NORMAL
60.0000,001-01-0000023,6.4558,NORMAL
60.0000,001-01-0000024,6.2100,NORMAL
60.0000,001-01-0000025,6.0069,NORMAL
