time_sec,ecgi,score,threshold,status,is_fake_gt
3.0,001-01-0000001,1.327356,0.640648,FAKE,1
3.0,001-01-0000002,0.465072,0.640648,LEGIT,0
3.0,001-01-0000003,0.514646,0.640648,LEGIT,0
3.0,001-01-0000004,0.539324,0.640648,LEGIT,0
3.0,001-01-0000005,0.508313,0.640648,LEGIT,0
3.0,001-01-0000006,0.492394,0.640648,LEGIT,0
3.0,001-01-0000007,0.537775,0.640648,LEGIT,0
3.0,001-01-0000008,0.46856,0.640648,LEGIT,0
3.0,001-01-0000009,0.580229,0.640648,LEGIT,0
3.0,001-01-0000010,0.509741,0.640648,LEGIT,0
3.0,001-01-0000011,0.541442,0.640648,LEGIT,0
3.0,001-01-0000012,0.557408,0.640648,LEGIT,0
3.0,001-01-0000013,0.540339,0.640648,LEGIT,0
3.0,001-01-0000014,0.511337,0.640648,LEGIT,0
3.0,001-01-0000015,0.536977,0.640648,LEGIT,0
3.0,001-01-0000016,0.519971,0.640648,LEGIT,0
3.0,001-01-0000017,0.609907,0.640648,LEGIT,0
3.0,001-01-0000018,0.60459,0.640648,LEGIT,0
3.0,001-01-0000019,0.539125,0.640648,LEGIT,0
3.0,001-01-0000020,0.477543,0.640648,LEGIT,0
3.0,001-01-0000021,0.550111,0.640648,LEGIT,0
3.0,001-01-0000022,0.526077,0.640648,LEGIT,0
3.0,001-01-0000023,0.540515,0.640648,LEGIT,0
3.0,001-01-0000024,0.557635,0.640648,LEGIT,0
3.0,001-01-0000025,0.509474,0.640648,LEGIT,0
7.0,001-01-0000001,1.279614,0.633841,FAKE,1
7.0,001-01-0000002,0.490385,0.633841,LEGIT,0
7.0,001-01-0000003,0.505623,0.633841,LEGIT,0
7.0,001-01-0000004,0.55169,0.633841,LEGIT,0
7.0,001-01-0000005,0.519403,0.633841,LEGIT,0
7.0,001-01-0000006,0.491461,0.633841,LEGIT,0
7.0,001-01-0000007,0.547683,0.633841,LEGIT,0
7.0,001-01-0000008,0.559301,0.633841,LEGIT,0
7.0,001-01-0000009,0.551266,0.633841,LEGIT,0
7.0,001-01-0000010,0.565577,0.633841,LEGIT,0
7.0,001-01-0000011,0.557541,0.633841,LEGIT,0
7.0,001-01-0000012,0.553494,0.633841,LEGIT,0
7.0,001-01-0000013,0.580934,0.633841,LEGIT,0
7.0,001-01-0000014,0.514206,0.633841,LEGIT,0
7.0,001-01-0000015,0.586716,0.633841,LEGIT,0
7.0,001-01-0000016,0.506882,0.633841,LEGIT,0
7.0,001-01-0000017,0.553285,0.633841,LEGIT,0
7.0,001-01-0000018,0.587831,0.633841,LEGIT,0
7.0,001-01-0000019,0.570267,0.633841,LEGIT,0
7.0,001-01-0000020,0.526787,0.633841,LEGIT,0
7.0,001-01-0000021,0.53473,0.633841,LEGIT,0
7.0,001-01-0000022,0.552923,0.633841,LEGIT,0
7.0,001-01-0000023,0.581457,0.633841,LEGIT,0
7.0,001-01-0000024,0.550071,0.633841,LEGIT,0
7.0,001-01-0000025,0.565587,0.633841,LEGIT,0
14.0,001-01-0000001,1.298365,0.669742,FAKE,1
14.0,001-01-0000002,0.528568,0.669742,LEGIT,0
14.0,001-01-0000003,0.544323,0.669742,LEGIT,0
14.0,001-01-0000004,0.57297,0.669742,LEGIT,0
14.0,001-01-0000005,0.515034,0.669742,LEGIT,0
14.0,001-01-0000006,0.520177,0.669742,LEGIT,0
14.0,001-01-0000007,0.585521,0.669742,LEGIT,0
14.0,001-01-0000008,0.537238,0.669742,LEGIT,0
14.0,001-01-0000009,0.543566,0.669742,LEGIT,0
14.0,001-01-0000010,0.552661,0.669742,LEGIT,0
14.0,001-01-0000011,0.497714,0.669742,LEGIT,0
14.0,001-01-0000012,0.572521,0.669742,LEGIT,0
14.0,001-01-0000013,0.565178,0.669742,LEGIT,0
14.0,001-01-0000014,0.568714,0.669742,LEGIT,0
14.0,001-01-0000015,0.53837,0.669742,LEGIT,0
14.0,001-01-0000016,0.53231,0.669742,LEGIT,0
14.0,001-01-0000017,0.499592,0.669742,LEGIT,0
14.0,001-01-0000018,0.625343,0.669742,LEGIT,0
14.0,001-01-0000019,0.559197,0.669742,LEGIT,0
14.0,001-01-0000020,0.521898,0.669742,LEGIT,0
14.0,001-01-0000021,0.477957,0.669742,LEGIT,0
14.0,001-01-0000022,0.598051,0.669742,LEGIT,0
14.0,001-01-0000023,0.587897,0.669742,LEGIT,0
14.0,001-01-0000024,0.61955,0.669742,LEGIT,0
14.0,001-01-0000025,0.514071,0.669742,LEGIT,0
9.0,001-01-0000001,1.257897,0.63022,FAKE,1
9.0,001-01-0000002,0.519342,0.63022,LEGIT,0
9.0,001-01-0000003,0.512641,0.63022,LEGIT,0
9.0,001-01-0000004,0.542045,0.63022,LEGIT,0
9.0,001-01-0000005,0.517707,0.63022,LEGIT,0
9.0,001-01-0000006,0.551807,0.63022,LEGIT,0
9.0,001-01-0000007,0.529441,0.63022,LEGIT,0
9.0,001-01-0000008,0.536958,0.63022,LEGIT,0
9.0,001-01-0000009,0.518429,0.63022,LEGIT,0
9.0,001-01-0000010,0.564685,0.63022,LEGIT,0
9.0,001-01-0000011,0.500546,0.63022,LEGIT,0
9.0,001-01-0000012,0.56112,0.63022,LEGIT,0
9.0,001-01-0000013,0.562141,0.63022,LEGIT,0
9.0,001-01-0000014,0.539849,0.63022,LEGIT,0
9.0,001-01-0000015,0.5373,0.63022,LEGIT,0
9.0,001-01-0000016,0.535905,0.63022,LEGIT,0
9.0,001-01-0000017,0.588747,0.63022,LEGIT,0
9.0,001-01-0000018,0.460752,0.63022,LEGIT,0
9.0,001-01-0000019,0.572834,0.63022,LEGIT,0
9.0,001-01-0000020,0.538905,0.63022,LEGIT,0
9.0,001-01-0000021,0.517278,0.63022,LEGIT,0
9.0,001-01-0000022,0.559435,0.63022,LEGIT,0
9.0,001-01-0000023,0.534504,0.63022,LEGIT,0
9.0,001-01-0000024,0.55747,0.63022,LEGIT,0
9.0,001-01-0000025,0.561141,0.63022,LEGIT,0
6.0,001-01-0000001,1.252118,0.65159,FAKE,1
6.0,001-01-0000002,0.547767,0.65159,LEGIT,0
6.0,001-01-0000003,0.523663,0.65159,LEGIT,0
6.0,001-01-0000004,0.503277,0.65159,LEGIT,0
6.0,001-01-0000005,0.527784,0.65159,LEGIT,0
6.0,001-01-0000006,0.516161,0.65159,LEGIT,0
6.0,001-01-0000007,0.550869,0.65159,LEGIT,0
6.0,001-01-0000008,0.529213,0.65159,LEGIT,0
6.0,001-01-0000009,0.590285,0.65159,LEGIT,0
6.0,001-01-0000010,0.574794,0.65159,LEGIT,0
6.0,001-01-0000011,0.548578,0.65159,LEGIT,0
6.0,001-01-0000012,0.520713,0.65159,LEGIT,0
6.0,001-01-0000013,0.581068,0.65159,LEGIT,0
6.0,001-01-0000014,0.571996,0.65159,LEGIT,0
6.0,001-01-0000015,0.528209,0.65159,LEGIT,0
6.0,001-01-0000016,0.543111,0.65159,LEGIT,0
6.0,001-01-0000017,0.595131,0.65159,LEGIT,0
6.0,001-01-0000018,0.539348,0.65159,LEGIT,0
6.0,001-01-0000019,0.539418,0.65159,LEGIT,0
6.0,001-01-0000020,0.543709,0.65159,LEGIT,0
6.0,001-01-0000021,0.588277,0.65159,LEGIT,0
6.0,001-01-0000022,0.57111,0.65159,LEGIT,0
6.0,001-01-0000023,0.530644,0.65159,LEGIT,0
6.0,001-01-0000024,0.562121,0.65159,LEGIT,0
6.0,001-01-0000025,0.595775,0.65159,LEGIT,0
15.0,001-01-0000001,1.297604,0.643641,FAKE,1
15.0,001-01-0000002,0.525556,0.643641,LEGIT,0
15.0,001-01-0000003,0.517181,0.643641,LEGIT,0
15.0,001-01-0000004,0.46565,0.643641,LEGIT,0
15.0,001-01-0000005,0.557299,0.643641,LEGIT,0
15.0,001-01-0000006,0.484886,0.643641,LEGIT,0
15.0,001-01-0000007,0.490059,0.643641,LEGIT,0
15.0,001-01-0000008,0.601544,0.643641,LEGIT,0
15.0,001-01-0000009,0.592756,0.643641,LEGIT,0
15.0,001-01-0000010,0.556217,0.643641,LEGIT,0
15.0,001-01-0000011,0.513656,0.643641,LEGIT,0
15.0,001-01-0000012,0.519199,0.643641,LEGIT,0
15.0,001-01-0000013,0.551243,0.643641,LEGIT,0
15.0,001-01-0000014,0.509362,0.643641,LEGIT,0
