time_sec,num_measurements,avg_residual,num_cells,num_fake_cells,runtime_ms
3.0,4250,706263.850478,25,1,143955.85
7.0,4250,687648.285378,25,1,145470.51
14.0,4575,674601.306933,25,1,147081.46
9.0,4300,669416.719849,25,1,147435.19
6.0,4350,667329.227659,25,1,148000.78
15.0,4425,662211.481233,25,1,148631.06
16.0,4375,667536.962624,25,1,148384.37
4.0,4150,702207.529189,25,1,148777.1
2.0,4300,629822.401167,25,1,149212.81
1.0,4325,676349.047292,25,1,149787.16
5.0,4350,681464.338446,25,1,149841.19
10.0,4325,638416.60703,25,2,148762.86
13.0,4400,669800.729643,25,1,149670.91
8.0,4400,678673.562218,25,1,150592.62
12.0,4475,674000.715488,25,1,152158.62
11.0,4475,700219.465309,25,1,154219.13
20.0,4200,661488.350106,25,1,140213.18
19.0,4275,660963.54839,25,1,144738.68
18.0,4275,641362.386657,25,1,146226.8
26.0,4275,592578.964812,25,1,145787.62
17.0,4450,664828.203263,25,1,150956.27
25.0,4300,741398.620196,25,1,147353.68
23.0,4325,577725.249183,25,1,148253.74
27.0,4275,665825.114101,25,1,147217.49
24.0,4400,612188.075694,25,1,148936.39
21.0,4500,587144.895552,25,1,151113.11
32.0,4225,662528.679321,25,1,144672.02
31.0,4425,551301.943685,25,1,146915.2
28.0,4350,655779.476371,25,2,148867.54
22.0,4425,623583.391266,25,1,151871.11
30.0,4425,537442.271887,25,1,152454.89
29.0,4350,618097.044366,25,1,152923.66
35.0,4275,600253.708169,25,1,135834.17
34.0,4250,584893.507706,25,1,140022.95
39.0,4325,560370.075763,25,1,139366.12
33.0,4350,637093.541678,25,1,149103.68
37.0,4300,628887.755248,25,1,144025.34
42.0,4225,592725.14068,25,1,140252.89
46.0,4175,584626.263201,25,1,140363.62
41.0,4225,575284.700561,25,1,143871.02
43.0,4350,561560.422634,25,1,142886.96
40.0,4375,556889.733121,25,1,146056.32
47.0,4250,615943.624248,25,1,140329.76
36.0,4525,571764.622161,25,1,148435.04
38.0,4325,658244.700907,25,1,148678.69
48.0,4500,640762.87996,25,1,142816.05
45.0,4525,508627.245831,25,1,146043.1
44.0,4375,567002.870054,25,1,148211.16
49.0,4400,534314.896553,25,1,104886.55
50.0,4400,545158.344468,25,2,101501.6
51.0,4450,617948.338304,25,1,102406.82
53.0,4350,557787.622278,25,1,100303.57
59.0,4400,533454.838318,25,1,96315.59
52.0,4425,568995.148594,25,1,101973.12
58.0,4325,527343.279024,25,2,96925.77
54.0,4425,568013.938599,25,2,100831.37
56.0,4400,559327.061838,25,1,99364.73
55.0,4375,503907.872268,25,1,99633.66
57.0,4375,581427.454769,25,3,98518.91
