timestamp,ue_id,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,rsrp_observed,ecgi,anomaly_score_wi
3.0,1,-145.07,1745.4,2.0,-183.24,1628.84,2.0,-80.976,001-01-0000001,0.471485
3.0,2,1206.19,397.48,2.0,1454.86,674.79,2.0,-70.448,001-01-0000001,0.768093
3.0,3,1589.11,1831.18,2.0,1650.84,1806.51,2.0,-86.952,001-01-0000001,0.427489
3.0,4,1438.14,455.42,2.0,1409.24,466.7,2.0,-66.26,001-01-0000001,0.953662
3.0,5,-302.51,392.72,2.0,73.73,512.42,2.0,-55.368,001-01-0000001,0.756256
3.0,6,2324.45,599.92,2.0,2145.98,767.37,2.0,-86.369,001-01-0000001,0.45537
3.0,7,1789.1,2284.56,2.0,1873.26,1815.08,2.0,-84.387,001-01-0000001,0.748027
3.0,8,1314.2,238.15,2.0,1430.87,570.25,2.0,-76.103,001-01-0000001,0.500675
3.0,9,509.14,404.78,2.0,547.19,666.64,2.0,-53.803,001-01-0000001,0.935117
3.0,10,550.59,2373.81,2.0,759.34,2187.43,2.0,-89.834,001-01-0000001,0.244311
3.0,11,1664.88,940.22,2.0,1768.41,979.63,2.0,-80.61,001-01-0000001,0.585388
3.0,13,768.87,-34.12,2.0,847.43,158.7,2.0,-63.605,001-01-0000001,0.705365
3.0,15,1942.18,1480.36,2.0,1907.16,1403.93,2.0,-78.318,001-01-0000001,0.869424
3.0,16,797.08,1165.54,2.0,841.3,1316.57,2.0,-68.7,001-01-0000001,0.88786
3.0,17,-334.19,573.32,2.0,-183.46,442.17,2.0,-65.028,001-01-0000001,0.478624
3.0,18,-94.51,2071.38,2.0,-54.51,1946.07,2.0,-77.444,001-01-0000001,0.809264
3.0,19,360.57,1226.84,2.0,296.18,1153.7,2.0,-63.882,001-01-0000001,0.949473
3.0,21,1459.95,-98.82,2.0,1274.28,-69.83,2.0,-64.525,001-01-0000001,0.96723
3.0,22,-500.0,1172.73,2.0,-176.43,835.26,2.0,-61.615,001-01-0000001,0.97296
3.0,23,1617.85,-101.87,2.0,1344.29,-224.75,2.0,-75.468,001-01-0000001,0.720101
3.0,24,65.07,1353.24,2.0,169.22,1217.69,2.0,-67.949,001-01-0000001,0.889799
3.0,25,2312.43,1570.35,2.0,2159.34,1612.19,2.0,-82.542,001-01-0000001,0.800683
3.0,26,21.41,2269.82,2.0,361.06,2084.92,2.0,-73.474,001-01-0000001,0.946377
3.0,27,-500.0,-500.0,2.0,40.26,-92.91,2.0,-42.258,001-01-0000001,0.99914
3.0,29,2355.12,1700.04,2.0,2073.59,1714.84,2.0,-74.177,001-01-0000001,0.97926
3.0,30,1693.95,-30.83,2.0,1479.54,-106.22,2.0,-70.748,001-01-0000001,0.909845
3.0,31,-475.25,405.92,2.0,-190.18,347.95,2.0,-59.78,001-01-0000001,0.726647
3.0,32,2000.18,2272.26,2.0,1973.52,2118.17,2.0,-78.957,001-01-0000001,0.934225
3.0,34,382.85,1709.47,2.0,780.16,1496.87,2.0,-78.178,001-01-0000001,0.643986
3.0,35,1811.06,1418.47,2.0,1698.3,1399.46,2.0,-76.03,001-01-0000001,0.90341
3.0,36,-500.0,2215.92,2.0,65.28,2007.0,2.0,-68.934,001-01-0000001,0.985892
3.0,38,378.06,-76.07,2.0,885.54,197.75,2.0,-60.299,001-01-0000001,0.211308
3.0,39,2037.97,1369.52,2.0,1850.47,1561.06,2.0,-85.304,001-01-0000001,0.547828
3.0,41,466.03,-500.0,2.0,772.52,-7.83,2.0,-56.614,001-01-0000001,0.894051
3.0,42,-25.55,77.19,2.0,-20.32,202.61,2.0,-55.777,001-01-0000001,0.695246
3.0,43,2020.36,944.47,2.0,1968.01,951.83,2.0,-82.694,001-01-0000001,0.610987
3.0,44,-3.61,1255.98,2.0,322.92,1166.65,2.0,-68.249,001-01-0000001,0.845123
3.0,45,1607.02,43.44,2.0,1525.8,147.2,2.0,-61.819,001-01-0000001,0.99131
3.0,46,2244.1,1610.42,2.0,2165.32,1864.84,2.0,-86.962,001-01-0000001,0.564253
3.0,49,2215.43,1438.82,2.0,1986.29,1533.68,2.0,-79.408,001-01-0000001,0.874921
3.0,50,394.12,64.15,2.0,610.13,-62.43,2.0,-44.842,001-01-0000001,0.950261
3.0,51,1870.18,125.41,2.0,1747.24,345.63,2.0,-71.784,001-01-0000001,0.92242
3.0,54,1005.42,204.68,2.0,1084.86,315.19,2.0,-64.899,001-01-0000001,0.846737
3.0,56,2096.48,92.14,2.0,2173.13,125.64,2.0,-77.551,001-01-0000001,0.812617
3.0,57,1179.56,6.63,2.0,1217.01,225.92,2.0,-62.606,001-01-0000001,0.948909
3.0,58,75.78,2067.44,2.0,395.1,2061.14,2.0,-78.698,001-01-0000001,0.75553
3.0,60,1509.18,542.24,2.0,1445.59,528.52,2.0,-71.634,001-01-0000001,0.864058
3.0,62,861.42,1528.93,2.0,673.79,1507.4,2.0,-54.782,001-01-0000001,0.999679
3.0,63,1051.93,2077.11,2.0,1178.86,1938.3,2.0,-77.284,001-01-0000001,0.876657
3.0,65,1898.72,2286.39,2.0,1889.4,2166.78,2.0,-79.132,001-01-0000001,0.925798
3.0,67,1465.28,2133.18,2.0,1405.79,1682.15,2.0,-67.592,001-01-0000001,0.995691
3.0,68,49.83,656.79,2.0,346.18,887.3,2.0,-66.749,001-01-0000001,0.35639
3.0,69,1154.45,1681.95,2.0,1053.67,1720.07,2.0,-77.306,001-01-0000001,0.804337
3.0,70,1676.58,2030.86,2.0,1802.79,1998.34,2.0,-77.174,001-01-0000001,0.925494
3.0,73,206.97,1676.66,2.0,343.74,1646.56,2.0,-58.96,001-01-0000001,0.997687
3.0,75,1754.11,2019.01,2.0,1883.03,2225.67,2.0,-89.283,001-01-0000001,0.378965
3.0,76,655.7,1886.33,2.0,779.27,1852.68,2.0,-69.383,001-01-0000001,0.969239
3.0,77,1607.04,-142.17,2.0,1614.36,-10.77,2.0,-67.915,001-01-0000001,0.946149
3.0,78,1280.62,1907.61,2.0,1448.75,1919.21,2.0,-73.366,001-01-0000001,0.950592
3.0,79,-240.56,187.82,2.0,-228.48,500.91,2.0,-54.478,001-01-0000001,0.339524
3.0,80,1922.3,226.83,2.0,2108.36,389.94,2.0,-72.919,001-01-0000001,0.909927
3.0,81,999.1,1124.3,2.0,1039.77,1253.96,2.0,-64.169,001-01-0000001,0.974097
3.0,82,1166.87,1359.27,2.0,994.1,1329.9,2.0,-80.298,001-01-0000001,0.538929
3.0,83,1901.88,2068.03,2.0,1999.77,1613.89,2.0,-76.933,001-01-0000001,0.946715
3.0,84,1352.78,1471.14,2.0,1102.08,1669.15,2.0,-77.288,001-01-0000001,0.791746
3.0,85,1015.29,1990.9,2.0,1099.84,2056.6,2.0,-75.479,001-01-0000001,0.905201
3.0,86,1923.51,-351.94,2.0,2034.0,-55.42,2.0,-72.014,001-01-0000001,0.93091
3.0,88,674.9,2453.36,2.0,964.3,2038.06,2.0,-87.629,001-01-0000001,0.434884
3.0,89,411.65,117.5,2.0,-94.96,360.69,2.0,-50.561,001-01-0000001,0.849435
3.0,90,2120.58,1513.84,2.0,1718.17,1685.77,2.0,-71.839,001-01-0000001,0.982578
3.0,92,-500.0,1342.65,2.0,-43.29,1571.66,2.0,-76.509,001-01-0000001,0.547807
3.0,93,1695.55,927.85,2.0,1617.02,1015.43,2.0,-64.911,001-01-0000001,0.991059
3.0,94,462.43,1455.19,2.0,613.52,1474.21,2.0,-68.4,001-01-0000001,0.92312
3.0,95,457.63,1784.5,2.0,673.31,1799.71,2.0,-66.274,001-01-0000001,0.982055
3.0,96,197.22,1075.37,2.0,681.88,1509.18,2.0,-60.771,001-01-0000001,0.956535
3.0,98,-434.32,1635.66,2.0,244.92,2008.55,2.0,-71.572,001-01-0000001,0.890021
3.0,100,708.59,32.27,2.0,833.27,314.67,2.0,-50.426,001-01-0000001,0.98351
3.0,101,617.11,1193.93,2.0,524.15,1112.95,2.0,-67.029,001-01-0000001,0.908492
3.0,102,-3.07,909.86,2.0,-68.0,961.11,2.0,-57.061,001-01-0000001,0.964384
3.0,103,1188.65,2090.66,2.0,1738.18,1679.46,2.0,-67.722,001-01-0000001,0.9931
3.0,104,1832.33,652.87,2.0,1845.31,864.39,2.0,-76.454,001-01-0000001,0.807219
3.0,105,256.07,844.6,2.0,594.05,1055.31,2.0,-53.112,001-01-0000001,0.987556
3.0,106,1643.09,2500.0,2.0,1224.96,2216.54,2.0,-64.995,001-01-0000001,0.999386
3.0,108,1634.84,-500.0,2.0,1914.26,39.71,2.0,-83.077,001-01-0000001,0.306205
3.0,109,1905.17,-254.84,2.0,1644.57,-56.14,2.0,-78.869,001-01-0000001,0.6887
3.0,110,1319.69,2160.18,2.0,1510.07,2063.0,2.0,-74.725,001-01-0000001,0.953491
3.0,111,1512.05,414.71,2.0,1726.75,577.06,2.0,-80.756,001-01-0000001,0.366133
3.0,112,2212.63,2431.55,2.0,2112.01,2090.25,2.0,-79.872,001-01-0000001,0.941193
3.0,114,-300.73,2107.85,2.0,-113.93,1764.6,2.0,-69.395,001-01-0000001,0.977356
3.0,115,1826.59,1119.68,2.0,1536.38,1119.29,2.0,-81.603,001-01-0000001,0.636161
3.0,116,1903.47,260.43,2.0,1879.26,168.51,2.0,-72.612,001-01-0000001,0.913871
3.0,117,2065.29,1074.77,2.0,2062.99,1090.84,2.0,-75.443,001-01-0000001,0.920101
3.0,118,1699.58,1890.49,2.0,1487.57,1788.92,2.0,-77.091,001-01-0000001,0.915817
3.0,119,224.03,2291.29,2.0,431.44,1459.6,2.0,-73.402,001-01-0000001,0.950549
3.0,121,2097.58,599.71,2.0,2068.53,668.33,2.0,-88.101,001-01-0000001,0.239766
3.0,122,835.73,1650.89,2.0,553.28,1804.42,2.0,-82.629,001-01-0000001,0.421526
