time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
3.0,1,-183.24,1628.84,2.0,-145.07,1745.4,2.0,122.65
3.0,2,1454.86,674.79,2.0,1206.19,397.48,2.0,372.47
3.0,3,1650.84,1806.51,2.0,1589.11,1831.18,2.0,66.47
3.0,4,1409.24,466.7,2.0,1438.14,455.42,2.0,31.02
3.0,5,73.73,512.42,2.0,-302.51,392.72,2.0,394.82
3.0,6,2145.98,767.37,2.0,2324.45,599.92,2.0,244.73
3.0,7,1873.26,1815.08,2.0,1789.1,2284.56,2.0,476.97
3.0,8,1430.87,570.25,2.0,1314.2,238.15,2.0,351.99
3.0,9,547.19,666.64,2.0,509.14,404.78,2.0,264.61
3.0,10,759.34,2187.43,2.0,550.59,2373.81,2.0,279.85
3.0,11,1768.41,979.63,2.0,1664.88,940.22,2.0,110.78
3.0,13,847.43,158.7,2.0,768.87,-34.12,2.0,208.21
3.0,15,1907.16,1403.93,2.0,1942.18,1480.36,2.0,84.07
3.0,16,841.3,1316.57,2.0,797.08,1165.54,2.0,157.37
3.0,17,-183.46,442.17,2.0,-334.19,573.32,2.0,199.81
3.0,18,-54.51,1946.07,2.0,-94.51,2071.38,2.0,131.53
3.0,19,296.18,1153.7,2.0,360.57,1226.84,2.0,97.44
3.0,21,1274.28,-69.83,2.0,1459.95,-98.82,2.0,187.92
3.0,22,-176.43,835.26,2.0,-500.0,1172.73,2.0,467.54
3.0,23,1344.29,-224.75,2.0,1617.85,-101.87,2.0,299.89
3.0,24,169.22,1217.69,2.0,65.07,1353.24,2.0,170.94
3.0,25,2159.34,1612.19,2.0,2312.43,1570.35,2.0,158.7
3.0,26,361.06,2084.92,2.0,21.41,2269.82,2.0,386.72
3.0,27,40.26,-92.91,2.0,-500.0,-500.0,2.0,676.46
3.0,29,2073.59,1714.84,2.0,2355.12,1700.04,2.0,281.91
3.0,30,1479.54,-106.22,2.0,1693.95,-30.83,2.0,227.29
3.0,31,-190.18,347.95,2.0,-475.25,405.92,2.0,290.91
3.0,32,1973.52,2118.17,2.0,2000.18,2272.26,2.0,156.38
3.0,34,780.16,1496.87,2.0,382.85,1709.47,2.0,450.61
3.0,35,1698.3,1399.46,2.0,1811.06,1418.47,2.0,114.35
3.0,36,65.28,2007.0,2.0,-500.0,2215.92,2.0,602.66
3.0,38,885.54,197.75,2.0,378.06,-76.07,2.0,576.65
3.0,39,1850.47,1561.06,2.0,2037.97,1369.52,2.0,268.04
3.0,41,772.52,-7.83,2.0,466.03,-500.0,2.0,579.79
3.0,42,-20.32,202.61,2.0,-25.55,77.19,2.0,125.53
3.0,43,1968.01,951.83,2.0,2020.36,944.47,2.0,52.86
3.0,44,322.92,1166.65,2.0,-3.61,1255.98,2.0,338.53
3.0,45,1525.8,147.2,2.0,1607.02,43.44,2.0,131.76
3.0,46,2165.32,1864.84,2.0,2244.1,1610.42,2.0,266.34
3.0,49,1986.29,1533.68,2.0,2215.43,1438.82,2.0,247.99
3.0,50,610.13,-62.43,2.0,394.12,64.15,2.0,250.37
3.0,51,1747.24,345.63,2.0,1870.18,125.41,2.0,252.21
3.0,54,1084.86,315.19,2.0,1005.42,204.68,2.0,136.1
3.0,56,2173.13,125.64,2.0,2096.48,92.14,2.0,83.65
3.0,57,1217.01,225.92,2.0,1179.56,6.63,2.0,222.47
3.0,58,395.1,2061.14,2.0,75.78,2067.44,2.0,319.38
3.0,60,1445.59,528.52,2.0,1509.18,542.24,2.0,65.05
3.0,62,673.79,1507.4,2.0,861.42,1528.93,2.0,188.86
3.0,63,1178.86,1938.3,2.0,1051.93,2077.11,2.0,188.09
3.0,65,1889.4,2166.78,2.0,1898.72,2286.39,2.0,119.97
3.0,67,1405.79,1682.15,2.0,1465.28,2133.18,2.0,454.94
3.0,68,346.18,887.3,2.0,49.83,656.79,2.0,375.44
3.0,69,1053.67,1720.07,2.0,1154.45,1681.95,2.0,107.75
3.0,70,1802.79,1998.34,2.0,1676.58,2030.86,2.0,130.33
3.0,73,343.74,1646.56,2.0,206.97,1676.66,2.0,140.04
3.0,75,1883.03,2225.67,2.0,1754.11,2019.01,2.0,243.57
3.0,76,779.27,1852.68,2.0,655.7,1886.33,2.0,128.07
3.0,77,1614.36,-10.77,2.0,1607.04,-142.17,2.0,131.6
3.0,78,1448.75,1919.21,2.0,1280.62,1907.61,2.0,168.53
3.0,79,-228.48,500.91,2.0,-240.56,187.82,2.0,313.33
3.0,80,2108.36,389.94,2.0,1922.3,226.83,2.0,247.43
3.0,81,1039.77,1253.96,2.0,999.1,1124.3,2.0,135.89
3.0,82,994.1,1329.9,2.0,1166.87,1359.27,2.0,175.25
3.0,83,1999.77,1613.89,2.0,1901.88,2068.03,2.0,464.57
3.0,84,1102.08,1669.15,2.0,1352.78,1471.14,2.0,319.47
3.0,85,1099.84,2056.6,2.0,1015.29,1990.9,2.0,107.07
3.0,86,2034.0,-55.42,2.0,1923.51,-351.94,2.0,316.44
3.0,88,964.3,2038.06,2.0,674.9,2453.36,2.0,506.19
3.0,89,-94.96,360.69,2.0,411.65,117.5,2.0,561.95
