time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,1.126292,1.202564,LEGIT,1
1.0,001-01-0000002,0.796424,1.202564,LEGIT,0
1.0,001-01-0000003,0.805083,1.202564,LEGIT,0
1.0,001-01-0000004,0.655331,1.202564,LEGIT,0
1.0,001-01-0000005,0.813773,1.202564,LEGIT,0
1.0,001-01-0000006,0.926574,1.202564,LEGIT,0
1.0,001-01-0000007,0.932528,1.202564,LEGIT,0
1.0,001-01-0000008,1.039313,1.202564,LEGIT,0
1.0,001-01-0000009,0.677292,1.202564,LEGIT,0
1.0,001-01-0000010,0.925241,1.202564,LEGIT,0
1.0,001-01-0000011,0.726816,1.202564,LEGIT,0
1.0,001-01-0000012,0.900388,1.202564,LEGIT,0
1.0,001-01-0000013,0.830103,1.202564,LEGIT,0
1.0,001-01-0000014,0.916423,1.202564,LEGIT,0
1.0,001-01-0000015,1.012858,1.202564,LEGIT,0
1.0,001-01-0000016,0.904529,1.202564,LEGIT,0
1.0,001-01-0000017,0.738305,1.202564,LEGIT,0
1.0,001-01-0000018,0.832483,1.202564,LEGIT,0
1.0,001-01-0000019,0.927205,1.202564,LEGIT,0
1.0,001-01-0000020,0.88907,1.202564,LEGIT,0
1.0,001-01-0000021,0.898586,1.202564,LEGIT,0
1.0,001-01-0000022,0.888591,1.202564,LEGIT,0
1.0,001-01-0000023,0.940913,1.202564,LEGIT,0
1.0,001-01-0000024,0.96693,1.202564,LEGIT,0
1.0,001-01-0000025,0.709496,1.202564,LEGIT,0
