time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,1.497436,1.598338,LEGIT,1
1.0,001-01-0000002,0.903393,1.598338,LEGIT,0
1.0,001-01-0000003,0.96937,1.598338,LEGIT,0
1.0,001-01-0000004,0.890297,1.598338,LEGIT,0
1.0,001-01-0000005,0.774086,1.598338,LEGIT,0
1.0,001-01-0000006,0.905757,1.598338,LEGIT,0
1.0,001-01-0000007,1.002753,1.598338,LEGIT,0
1.0,001-01-0000008,1.253268,1.598338,LEGIT,0
1.0,001-01-0000009,0.916536,1.598338,LEGIT,0
1.0,001-01-0000010,1.080521,1.598338,LEGIT,0
1.0,001-01-0000011,0.843566,1.598338,LEGIT,0
1.0,001-01-0000012,1.041688,1.598338,LEGIT,0
1.0,001-01-0000013,1.11901,1.598338,LEGIT,0
1.0,001-01-0000014,1.09846,1.598338,LEGIT,0
1.0,001-01-0000015,1.179955,1.598338,LEGIT,0
1.0,001-01-0000016,0.88479,1.598338,LEGIT,0
1.0,001-01-0000017,0.82312,1.598338,LEGIT,0
1.0,001-01-0000018,1.0619,1.598338,LEGIT,0
1.0,001-01-0000019,1.132643,1.598338,LEGIT,0
1.0,001-01-0000020,1.263818,1.598338,LEGIT,0
1.0,001-01-0000021,0.989155,1.598338,LEGIT,0
1.0,001-01-0000022,1.10592,1.598338,LEGIT,0
1.0,001-01-0000023,1.10839,1.598338,LEGIT,0
1.0,001-01-0000024,1.135385,1.598338,LEGIT,0
1.0,001-01-0000025,0.916275,1.598338,LEGIT,0
