time_sec,imsi,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,ecgi,cell_role,rsrp_dbm,timing_advance
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000001,N,-70.572,20
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000002,N,-87.264,23
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000003,N,-89.753,26
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000004,N,-85.077,30
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000005,N,-105.827,35
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000006,N,-85.248,15
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000007,N,-102.731,17
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000008,N,-94.113,21
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000009,N,-90.538,26
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000010,N,-104.26,32
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000011,N,-74.524,8
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000012,N,-82.24,12
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000013,N,-86.778,17
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000014,N,-95.159,23
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000015,N,-99.812,29
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000016,N,-59.069,3
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000017,N,-74.592,9
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000018,N,-91.21,15
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000019,N,-89.599,22
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000020,N,-95.224,28
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000021,S,-58.961,5
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000022,N,-79.049,10
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000023,N,-89.951,16
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000024,N,-75.784,22
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,001-01-0000025,N,-111.37,28
1.0,2,1624.81,436.57,2.0,1468.55,659.46,2.0,001-01-0000001,N,-85.795,19
