time_sec,imsi,ue_x,ue_y,ue_z,serving_ecgi,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,12,-35.315,129.634,2.000,001-01-0000001,-34.853,15.085,18.574,2
1.000,13,846.596,136.552,2.000,001-01-0000001,-47.729,15.232,11.271,10
1.000,22,-187.095,829.251,2.000,001-01-0000001,-64.613,9.996,2.009,10
1.000,31,-193.474,345.773,2.000,001-01-0000001,-38.808,13.216,15.703,5
1.000,33,276.880,80.043,2.000,001-01-0000001,-56.352,11.807,-4.212,3
1.000,40,401.003,342.762,2.000,001-01-0000001,-39.953,15.033,12.111,5
1.000,42,-31.369,194.832,2.000,001-01-0000001,-45.646,15.653,6.504,2
1.000,47,217.795,-41.145,2.000,001-01-0000001,-47.538,10.776,6.247,2
1.000,57,1224.606,231.631,2.000,001-01-0000001,-59.454,11.403,-1.198,15
1.000,59,774.327,-238.919,2.000,001-01-0000001,-55.423,10.537,0.962,10
1.000,72,30.792,277.219,2.000,001-01-0000001,-36.267,15.159,13.273,3
1.000,79,-229.856,515.719,2.000,001-01-0000001,-66.200,6.237,-2.079,7
1.000,84,1103.147,1693.732,2.000,001-01-0000001,-59.716,9.712,2.821,25
1.000,87,204.402,166.887,2.000,001-01-0000001,-46.075,16.965,9.375,2
1.000,89,-116.786,340.153,2.000,001-01-0000001,-48.189,11.431,-0.385,4
1.000,97,59.150,674.338,2.000,001-01-0000001,-53.092,10.555,0.778,8
1.000,132,715.047,72.377,2.000,001-01-0000001,-54.761,13.487,7.491,8
1.000,134,124.474,392.937,2.000,001-01-0000001,-50.257,10.867,4.731,4
1.000,137,58.340,-50.663,2.000,001-01-0000001,-30.097,14.705,35.918,2
1.000,144,-205.930,81.907,2.000,001-01-0000001,-37.335,16.655,31.353,4
1.000,148,832.959,813.336,2.000,001-01-0000001,-54.850,13.178,1.666,14
1.000,164,245.623,570.064,2.000,001-01-0000001,-39.575,11.421,7.215,7
1.000,172,224.138,288.367,2.000,001-01-0000001,-45.056,12.106,1.496,3
1.000,189,-168.394,-167.429,2.000,001-01-0000001,-53.707,12.361,7.053,4
1.000,190,359.736,46.935,2.000,001-01-0000001,-37.575,15.444,11.313,4
1.000,197,1050.590,690.873,2.000,001-01-0000001,-62.842,7.891,-5.470,15
2.000,12,-31.913,130.699,2.000,001-01-0000001,-45.192,15.238,16.830,2
2.000,14,0.802,1255.949,2.000,001-01-0000001,-50.724,10.547,2.561,15
2.000,27,35.086,-97.167,2.000,001-01-0000001,-44.881,13.292,25.604,2
2.000,28,654.622,320.842,2.000,001-01-0000001,-50.247,13.750,2.724,8
2.000,31,-191.824,346.861,2.000,001-01-0000001,-53.971,13.123,9.502,5
2.000,33,280.934,80.979,2.000,001-01-0000001,-49.019,11.942,8.352,3
2.000,34,775.603,1506.962,2.000,001-01-0000001,-55.277,12.294,0.251,20
2.000,42,-25.842,198.720,2.000,001-01-0000001,-27.713,14.806,34.306,2
2.000,47,219.227,-37.894,2.000,001-01-0000001,-30.323,15.094,24.789,2
2.000,52,405.616,331.769,2.000,001-01-0000001,-53.528,11.732,-4.732,5
2.000,57,1220.809,228.776,2.000,001-01-0000001,-66.811,5.025,-8.780,15
2.000,61,-111.676,609.387,2.000,001-01-0000001,-51.053,16.378,5.523,7
2.000,64,585.105,-109.728,2.000,001-01-0000001,-53.010,13.198,0.465,7
2.000,68,337.881,891.733,2.000,001-01-0000001,-53.320,13.150,7.204,11
2.000,72,30.856,290.045,2.000,001-01-0000001,-38.523,13.423,25.329,3
2.000,79,-229.169,508.315,2.000,001-01-0000001,-49.667,15.019,7.142,7
2.000,87,213.408,176.591,2.000,001-01-0000001,-36.216,14.393,17.622,2
2.000,97,63.991,674.894,2.000,001-01-0000001,-57.456,9.543,-0.227,8
2.000,107,236.232,510.671,2.000,001-01-0000001,-45.551,10.198,7.047,6
2.000,128,18.500,411.011,2.000,001-01-0000001,-44.238,8.539,5.397,4
2.000,137,67.254,-39.380,2.000,001-01-0000001,-37.041,11.262,22.432,1
2.000,144,-198.281,86.645,2.000,001-01-0000001,-44.592,17.431,21.143,3
2.000,150,383.003,2103.884,2.000,001-01-0000001,-53.412,12.604,-2.443,26
2.000,155,306.586,682.132,2.000,001-01-0000001,-54.212,11.144,0.360,8
2.000,163,1663.442,239.288,2.000,001-01-0000001,-56.333,13.257,-0.875,21
2.000,172,233.016,294.433,2.000,001-01-0000001,-31.136,10.610,20.581,4
2.000,189,-156.815,-166.786,2.000,001-01-0000001,-37.672,13.696,25.128,4
2.000,190,366.971,49.431,2.000,001-01-0000001,-38.059,14.307,15.762,4
2.000,198,1137.542,1190.537,2.000,001-01-0000001,-60.806,7.649,-6.543,20
