time_sec,imsi,ue_x,ue_y,ue_z,cell_id,ecgi,cell_role,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,1,-192.507,1624.489,2.000,26,001-01-0000001,N,-65.572,5.316,-13.092,20
1.000,1,-192.507,1624.489,2.000,2,001-01-0000002,N,-87.264,-15.675,-30.792,23
1.000,1,-192.507,1624.489,2.000,3,001-01-0000003,N,-89.753,-21.196,-37.878,26
1.000,1,-192.507,1624.489,2.000,4,001-01-0000004,N,-85.077,-14.616,-31.836,30
1.000,1,-192.507,1624.489,2.000,5,001-01-0000005,N,-105.827,-39.254,-40.000,35
1.000,1,-192.507,1624.489,2.000,6,001-01-0000006,N,-85.248,-16.842,-29.694,15
1.000,1,-192.507,1624.489,2.000,7,001-01-0000007,N,-102.731,-33.755,-40.000,17
1.000,1,-192.507,1624.489,2.000,8,001-01-0000008,N,-94.113,-23.387,-39.277,21
1.000,1,-192.507,1624.489,2.000,9,001-01-0000009,N,-90.538,-23.024,-31.621,26
1.000,1,-192.507,1624.489,2.000,10,001-01-0000010,N,-104.260,-33.360,-40.000,32
1.000,1,-192.507,1624.489,2.000,11,001-01-0000011,N,-74.524,-4.668,-14.196,8
1.000,1,-192.507,1624.489,2.000,12,001-01-0000012,N,-82.240,-11.989,-26.623,12
1.000,1,-192.507,1624.489,2.000,13,001-01-0000013,N,-86.778,-20.469,-29.261,17
1.000,1,-192.507,1624.489,2.000,14,001-01-0000014,N,-95.159,-27.516,-40.000,23
1.000,1,-192.507,1624.489,2.000,15,001-01-0000015,N,-99.812,-30.570,-40.000,29
1.000,1,-192.507,1624.489,2.000,16,001-01-0000016,N,-59.069,7.134,-3.706,3
1.000,1,-192.507,1624.489,2.000,17,001-01-0000017,N,-74.592,-3.401,-17.157,9
1.000,1,-192.507,1624.489,2.000,18,001-01-0000018,N,-91.210,-20.484,-35.339,15
1.000,1,-192.507,1624.489,2.000,19,001-01-0000019,N,-89.599,-18.945,-33.524,22
1.000,1,-192.507,1624.489,2.000,20,001-01-0000020,N,-95.224,-26.231,-36.379,28
1.000,1,-192.507,1624.489,2.000,21,001-01-0000021,S,-58.961,9.877,-3.437,5
1.000,1,-192.507,1624.489,2.000,22,001-01-0000022,N,-79.049,-7.296,-19.981,10
1.000,1,-192.507,1624.489,2.000,23,001-01-0000023,N,-89.951,-23.770,-32.686,16
1.000,1,-192.507,1624.489,2.000,24,001-01-0000024,N,-75.784,-10.544,-17.187,22
1.000,1,-192.507,1624.489,2.000,25,001-01-0000025,N,-111.370,-40.000,-40.000,28
1.000,2,1468.545,659.461,2.000,26,001-01-0000001,N,-80.795,-17.875,-29.952,19
1.000,2,1468.545,659.461,2.000,2,001-01-0000002,N,-82.028,-21.290,-35.625,15
1.000,2,1468.545,659.461,2.000,3,001-01-0000003,N,-89.690,-26.000,-40.000,10
1.000,2,1468.545,659.461,2.000,4,001-01-0000004,N,-77.576,-10.249,-28.572,8
1.000,2,1468.545,659.461,2.000,5,001-01-0000005,N,-79.872,-18.249,-32.863,11
1.000,2,1468.545,659.461,2.000,6,001-01-0000006,N,-80.783,-18.313,-33.032,19
1.000,2,1468.545,659.461,2.000,7,001-01-0000007,N,-67.447,-8.193,-14.129,13
1.000,2,1468.545,659.461,2.000,8,001-01-0000008,N,-65.987,-2.581,-16.514,6
1.000,2,1468.545,659.461,2.000,9,001-01-0000009,S,-50.212,14.860,4.053,2
1.000,2,1468.545,659.461,2.000,10,001-01-0000010,N,-80.720,-18.800,-29.887,7
1.000,2,1468.545,659.461,2.000,11,001-01-0000011,N,-100.153,-36.845,-40.000,19
1.000,2,1468.545,659.461,2.000,12,001-01-0000012,N,-81.011,-17.735,-32.275,13
1.000,2,1468.545,659.461,2.000,13,001-01-0000013,N,-72.110,-5.806,-19.432,7
1.000,2,1468.545,659.461,2.000,14,001-01-0000014,N,-59.751,-1.312,-5.427,4
1.000,2,1468.545,659.461,2.000,15,001-01-0000015,N,-68.957,-1.203,-15.756,8
1.000,2,1468.545,659.461,2.000,16,001-01-0000016,N,-87.803,-24.795,-40.000,22
1.000,2,1468.545,659.461,2.000,17,001-01-0000017,N,-97.900,-33.008,-40.000,16
1.000,2,1468.545,659.461,2.000,18,001-01-0000018,N,-74.336,-10.187,-24.930,12
1.000,2,1468.545,659.461,2.000,19,001-01-0000019,N,-80.123,-14.250,-31.830,11
1.000,2,1468.545,659.461,2.000,20,001-01-0000020,N,-89.656,-27.105,-39.064,13
1.000,2,1468.545,659.461,2.000,21,001-01-0000021,N,-96.643,-29.338,-40.000,25
1.000,2,1468.545,659.461,2.000,22,001-01-0000022,N,-101.507,-38.903,-40.000,21
1.000,2,1468.545,659.461,2.000,23,001-01-0000023,N,-90.582,-25.709,-40.000,18
1.000,2,1468.545,659.461,2.000,24,001-01-0000024,N,-80.886,-18.522,-28.136,17
1.000,2,1468.545,659.461,2.000,25,001-01-0000025,N,-90.701,-26.408,-40.000,18
1.000,3,1665.008,1822.764,2.000,26,001-01-0000001,N,-89.934,-32.715,-40.000,30
1.000,3,1665.008,1822.764,2.000,2,001-01-0000002,N,-87.289,-24.321,-39.440,28
1.000,3,1665.008,1822.764,2.000,3,001-01-0000003,N,-99.626,-37.573,-40.000,25
1.000,3,1665.008,1822.764,2.000,4,001-01-0000004,N,-86.554,-21.841,-34.679,23
1.000,3,1665.008,1822.764,2.000,5,001-01-0000005,N,-77.197,-13.383,-33.852,24
1.000,3,1665.008,1822.764,2.000,6,001-01-0000006,N,-91.250,-23.725,-40.000,27
1.000,3,1665.008,1822.764,2.000,7,001-01-0000007,N,-96.362,-32.305,-40.000,23
1.000,3,1665.008,1822.764,2.000,8,001-01-0000008,N,-92.689,-29.734,-40.000,19
1.000,3,1665.008,1822.764,2.000,9,001-01-0000009,N,-86.692,-23.996,-35.076,17
1.000,3,1665.008,1822.764,2.000,10,001-01-0000010,N,-84.155,-18.577,-39.186,17
1.000,3,1665.008,1822.764,2.000,11,001-01-0000011,N,-91.708,-27.029,-40.000,24
1.000,3,1665.008,1822.764,2.000,12,001-01-0000012,N,-83.887,-20.918,-39.599,18
1.000,3,1665.008,1822.764,2.000,13,001-01-0000013,N,-84.199,-18.261,-34.008,14
1.000,3,1665.008,1822.764,2.000,14,001-01-0000014,N,-77.797,-18.386,-29.523,11
1.000,3,1665.008,1822.764,2.000,15,001-01-0000015,N,-72.454,-8.821,-21.916,11
1.000,3,1665.008,1822.764,2.000,16,001-01-0000016,N,-99.247,-36.524,-40.000,22
1.000,3,1665.008,1822.764,2.000,17,001-01-0000017,N,-84.331,-17.115,-30.692,15
