time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,3.321209,1.18844,FAKE,1
1.0,001-01-0000002,0.806551,1.18844,LEGIT,0
1.0,001-01-0000003,0.719368,1.18844,LEGIT,0
1.0,001-01-0000004,0.736364,1.18844,LEGIT,0
1.0,001-01-0000005,0.758607,1.18844,LEGIT,0
1.0,001-01-0000006,0.87482,1.18844,LEGIT,0
1.0,001-01-0000007,0.859767,1.18844,LEGIT,0
1.0,001-01-0000008,0.932813,1.18844,LEGIT,0
1.0,001-01-0000009,0.766501,1.18844,LEGIT,0
1.0,001-01-0000010,0.949027,1.18844,LEGIT,0
1.0,001-01-0000011,0.731101,1.18844,LEGIT,0
1.0,001-01-0000012,0.86844,1.18844,LEGIT,0
1.0,001-01-0000013,0.858671,1.18844,LEGIT,0
1.0,001-01-0000014,0.917951,1.18844,LEGIT,0
1.0,001-01-0000015,0.970364,1.18844,LEGIT,0
1.0,001-01-0000016,0.869473,1.18844,LEGIT,0
1.0,001-01-0000017,0.759456,1.18844,LEGIT,0
1.0,001-01-0000018,0.829858,1.18844,LEGIT,0
1.0,001-01-0000019,0.840818,1.18844,LEGIT,0
1.0,001-01-0000020,0.829329,1.18844,LEGIT,0
1.0,001-01-0000021,0.988696,1.18844,LEGIT,0
1.0,001-01-0000022,0.856957,1.18844,LEGIT,0
1.0,001-01-0000023,0.877805,1.18844,LEGIT,0
1.0,001-01-0000024,0.953207,1.18844,LEGIT,0
1.0,001-01-0000025,0.702022,1.18844,LEGIT,0
