time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,1,-192.51,1624.49,2.0,-500.0,1487.44,2.0,336.65
1.0,2,1468.55,659.46,2.0,1507.59,429.22,2.0,233.52
1.0,3,1665.01,1822.76,2.0,1748.1,1577.34,2.0,259.11
1.0,4,1433.31,474.67,2.0,1310.73,-81.39,2.0,569.42
1.0,5,62.47,485.63,2.0,-215.59,-28.81,2.0,584.77
1.0,6,2153.66,762.62,2.0,2454.36,470.88,2.0,418.97
1.0,7,1875.03,1819.11,2.0,2142.07,1926.94,2.0,287.99
1.0,8,1424.18,553.63,2.0,1322.04,619.47,2.0,121.52
1.0,9,562.91,645.51,2.0,435.91,767.04,2.0,175.78
1.0,10,747.94,2211.36,2.0,441.67,2152.86,2.0,311.81
1.0,11,1764.9,970.34,2.0,1999.12,786.82,2.0,297.55
1.0,14,-1.67,1259.46,2.0,-131.73,1215.04,2.0,137.43
1.0,15,1906.5,1411.21,2.0,2111.78,1686.37,2.0,343.3
1.0,17,-190.5,438.9,2.0,-323.48,161.98,2.0,307.19
1.0,18,-70.78,1969.01,2.0,-92.51,2107.75,2.0,140.43
1.0,19,292.4,1154.16,2.0,-120.69,962.95,2.0,455.2
1.0,20,1182.37,507.19,2.0,961.14,728.71,2.0,313.07
1.0,21,1281.24,-90.79,2.0,1121.92,-96.73,2.0,159.44
1.0,23,1342.84,-229.36,2.0,837.4,-458.9,2.0,555.12
1.0,24,165.04,1218.83,2.0,-93.82,1312.94,2.0,275.43
1.0,25,2177.44,1597.52,2.0,2050.13,1723.12,2.0,178.84
1.0,26,350.85,2090.52,2.0,-466.21,1983.71,2.0,824.02
1.0,29,2089.36,1716.11,2.0,1906.0,2259.57,2.0,573.56
1.0,30,1482.86,-125.25,2.0,1628.59,1.28,2.0,193.0
1.0,32,1975.06,2129.63,2.0,2364.53,1693.28,2.0,584.88
1.0,34,771.04,1517.05,2.0,259.84,834.61,2.0,852.68
1.0,35,1703.23,1414.12,2.0,2030.03,1155.05,2.0,417.03
1.0,36,39.18,2005.9,2.0,-391.82,1734.33,2.0,509.42
1.0,37,617.56,419.38,2.0,749.17,378.52,2.0,137.81
1.0,38,912.27,204.59,2.0,1077.78,205.08,2.0,165.51
1.0,39,1858.06,1552.38,2.0,1812.32,1649.78,2.0,107.61
1.0,41,766.4,-15.95,2.0,311.19,34.36,2.0,457.98
1.0,43,1976.93,956.03,2.0,1735.78,782.71,2.0,296.97
1.0,44,301.49,1170.25,2.0,-120.35,1212.81,2.0,423.98
1.0,45,1529.99,139.05,2.0,1705.02,-224.09,2.0,403.12
1.0,46,2173.16,1868.2,2.0,2436.39,1931.55,2.0,270.75
1.0,48,698.48,796.42,2.0,436.97,829.86,2.0,263.63
1.0,49,2000.28,1526.92,2.0,2069.42,1542.64,2.0,70.91
1.0,50,614.84,-72.26,2.0,708.9,-4.09,2.0,116.17
1.0,51,1752.16,366.64,2.0,1565.22,461.65,2.0,209.7
1.0,52,406.71,331.91,2.0,255.09,258.58,2.0,168.42
