time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,1.170442,1.180208,LEGIT,1
1.0,001-01-0000002,0.800516,1.180208,LEGIT,0
1.0,001-01-0000003,0.811484,1.180208,LEGIT,0
1.0,001-01-0000004,0.674829,1.180208,LEGIT,0
1.0,001-01-0000005,0.783734,1.180208,LEGIT,0
1.0,001-01-0000006,0.934631,1.180208,LEGIT,0
1.0,001-01-0000007,0.921173,1.180208,LEGIT,0
1.0,001-01-0000008,1.032235,1.180208,LEGIT,0
1.0,001-01-0000009,0.70335,1.180208,LEGIT,0
1.0,001-01-0000010,0.928094,1.180208,LEGIT,0
1.0,001-01-0000011,0.749859,1.180208,LEGIT,0
1.0,001-01-0000012,0.904762,1.180208,LEGIT,0
1.0,001-01-0000013,0.841576,1.180208,LEGIT,0
1.0,001-01-0000014,0.922722,1.180208,LEGIT,0
1.0,001-01-0000015,1.026901,1.180208,LEGIT,0
1.0,001-01-0000016,0.896938,1.180208,LEGIT,0
1.0,001-01-0000017,0.726799,1.180208,LEGIT,0
1.0,001-01-0000018,0.805504,1.180208,LEGIT,0
1.0,001-01-0000019,0.93263,1.180208,LEGIT,0
1.0,001-01-0000020,0.903735,1.180208,LEGIT,0
1.0,001-01-0000021,0.897047,1.180208,LEGIT,0
1.0,001-01-0000022,0.913049,1.180208,LEGIT,0
1.0,001-01-0000023,0.939114,1.180208,LEGIT,0
1.0,001-01-0000024,0.954467,1.180208,LEGIT,0
1.0,001-01-0000025,0.714326,1.180208,LEGIT,0
