time_sec,imsi,ue_x,ue_y,ue_z,serving_ecgi,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,40,401.003,342.762,2.000,001-01-0000001,-50.637,12.837,1.426,4
1.000,72,30.792,277.219,2.000,001-01-0000001,-48.278,13.799,1.262,2
1.000,87,204.402,166.887,2.000,001-01-0000001,-46.620,16.890,8.830,1
1.000,144,-205.930,81.907,2.000,001-01-0000001,-56.274,16.419,12.414,5
1.000,190,359.736,46.935,2.000,001-01-0000001,-49.340,12.668,-0.453,3
2.000,47,219.227,-37.894,2.000,001-01-0000001,-46.310,14.157,8.802,3
2.000,72,30.856,290.045,2.000,001-01-0000001,-50.499,13.168,13.353,2
2.000,87,213.408,176.591,2.000,001-01-0000001,-38.214,14.377,15.624,1
2.000,172,233.016,294.433,2.000,001-01-0000001,-38.983,10.503,12.735,2
2.000,190,366.971,49.431,2.000,001-01-0000001,-49.821,12.847,4.000,3
3.000,12,-28.512,131.765,2.000,001-01-0000001,-36.345,12.055,25.459,2
3.000,33,284.988,81.914,2.000,001-01-0000001,-47.202,11.312,2.824,2
3.000,47,220.658,-34.643,2.000,001-01-0000001,-37.388,15.643,13.481,2
3.000,53,804.007,26.385,2.000,001-01-0000001,-58.975,10.734,1.272,9
3.000,72,30.920,302.872,2.000,001-01-0000001,-56.105,8.653,8.600,3
3.000,87,222.414,186.296,2.000,001-01-0000001,-44.619,13.780,12.346,1
3.000,147,513.084,350.314,2.000,001-01-0000001,-60.583,8.716,0.260,5
3.000,172,241.894,300.500,2.000,001-01-0000001,-50.288,15.163,9.422,2
4.000,12,-25.110,132.830,2.000,001-01-0000001,-44.050,14.691,12.223,2
4.000,31,-188.526,349.035,2.000,001-01-0000001,-56.381,10.751,8.698,5
4.000,33,289.042,82.850,2.000,001-01-0000001,-45.313,13.316,-1.982,2
4.000,42,-14.788,206.495,2.000,001-01-0000001,-47.908,13.961,1.688,2
4.000,47,222.090,-31.393,2.000,001-01-0000001,-46.064,15.504,7.853,2
4.000,87,231.420,196.000,2.000,001-01-0000001,-42.054,15.394,10.218,1
4.000,134,135.905,400.813,2.000,001-01-0000001,-43.364,10.635,8.585,3
4.000,137,85.083,-16.814,2.000,001-01-0000001,-47.966,12.112,18.483,2
4.000,172,250.772,306.566,2.000,001-01-0000001,-42.016,16.240,25.609,3
