time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,1,-192.51,1624.49,2.0,-2.04,1758.13,2.0,232.68
1.0,2,1468.55,659.46,2.0,1640.0,500.93,2.0,233.51
1.0,3,1665.01,1822.76,2.0,1575.1,1887.49,2.0,110.78
1.0,4,1433.31,474.67,2.0,1356.27,499.93,2.0,81.07
1.0,5,62.47,485.63,2.0,-16.44,480.25,2.0,79.09
1.0,6,2153.66,762.62,2.0,1642.25,993.71,2.0,561.19
1.0,7,1875.03,1819.11,2.0,2114.55,1665.98,2.0,284.29
1.0,8,1424.18,553.63,2.0,1441.74,572.87,2.0,26.05
1.0,9,562.91,645.51,2.0,474.08,900.13,2.0,269.67
1.0,10,747.94,2211.36,2.0,438.75,2186.61,2.0,310.18
1.0,11,1764.9,970.34,2.0,2069.83,859.05,2.0,324.6
1.0,12,-35.31,129.63,2.0,-123.2,20.23,2.0,140.33
1.0,13,846.6,136.55,2.0,814.31,0.05,2.0,140.27
1.0,14,-1.67,1259.46,2.0,-78.0,1382.73,2.0,144.99
1.0,15,1906.5,1411.21,2.0,1883.44,1383.44,2.0,36.1
1.0,16,836.37,1321.72,2.0,696.71,1252.48,2.0,155.88
1.0,17,-190.5,438.9,2.0,-134.87,14.75,2.0,427.78
1.0,18,-70.78,1969.01,2.0,196.77,1918.78,2.0,272.23
1.0,19,292.4,1154.16,2.0,770.4,613.8,2.0,721.44
1.0,20,1182.37,507.19,2.0,1304.97,910.86,2.0,421.87
1.0,21,1281.24,-90.79,2.0,1366.95,-38.88,2.0,100.2
1.0,22,-187.09,829.25,2.0,337.74,825.89,2.0,524.85
1.0,23,1342.84,-229.36,2.0,991.28,-211.17,2.0,352.03
1.0,24,165.04,1218.83,2.0,212.8,1486.36,2.0,271.75
1.0,25,2177.44,1597.52,2.0,2036.37,1554.43,2.0,147.5
1.0,26,350.85,2090.52,2.0,383.04,2111.21,2.0,38.27
1.0,27,29.91,-101.42,2.0,-88.28,78.93,2.0,215.62
1.0,28,655.04,319.75,2.0,707.41,438.09,2.0,129.41
1.0,29,2089.36,1716.11,2.0,2040.49,1577.82,2.0,146.67
1.0,30,1482.86,-125.25,2.0,1629.59,0.85,2.0,193.47
1.0,31,-193.47,345.77,2.0,207.61,-0.01,2.0,529.56
1.0,32,1975.06,2129.63,2.0,2149.18,1992.12,2.0,221.87
1.0,33,276.88,80.04,2.0,360.32,354.08,2.0,286.46
1.0,34,771.04,1517.05,2.0,855.74,1446.12,2.0,110.47
1.0,35,1703.23,1414.12,2.0,1812.92,1358.33,2.0,123.06
1.0,36,39.18,2005.9,2.0,-22.08,1999.04,2.0,61.65
1.0,37,617.56,419.38,2.0,594.69,461.48,2.0,47.91
1.0,38,912.27,204.59,2.0,1091.35,167.28,2.0,182.92
1.0,39,1858.06,1552.38,2.0,1930.6,1568.54,2.0,74.32
1.0,41,766.4,-15.95,2.0,833.48,-36.06,2.0,70.03
1.0,42,-31.37,194.83,2.0,83.59,-200.85,2.0,412.04
1.0,43,1976.93,956.03,2.0,1965.84,964.32,2.0,13.85
1.0,44,301.49,1170.25,2.0,328.96,1042.38,2.0,130.79
1.0,45,1529.99,139.05,2.0,1592.23,-90.9,2.0,238.23
1.0,46,2173.16,1868.2,2.0,2161.98,2067.99,2.0,200.1
1.0,47,217.79,-41.15,2.0,135.34,0.41,2.0,92.33
1.0,48,698.48,796.42,2.0,806.45,958.0,2.0,194.34
1.0,49,2000.28,1526.92,2.0,2000.01,1500.0,2.0,26.92
1.0,50,614.84,-72.26,2.0,612.51,4.05,2.0,76.35
1.0,51,1752.16,366.64,2.0,1992.49,351.96,2.0,240.78
1.0,52,406.71,331.91,2.0,754.57,245.43,2.0,358.45
1.0,53,805.7,18.76,2.0,959.29,122.72,2.0,185.47
1.0,54,1101.2,308.75,2.0,1765.54,265.54,2.0,665.74
1.0,55,185.59,1343.27,2.0,-71.05,1121.28,2.0,339.32
