timestamp,ue_id,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,rsrp_observed,ecgi,anomaly_score_wi
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,-69.984,001-01-0000001,0.935906
1.0,2,1615.33,420.64,2.0,1468.55,659.46,2.0,-84.773,001-01-0000001,0.17784
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,-93.002,001-01-0000001,0.082948
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,-70.088,001-01-0000001,0.859552
1.0,5,-16.29,480.13,2.0,62.47,485.63,2.0,-47.232,001-01-0000001,0.95802
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,-97.732,001-01-0000001,0.139229
1.0,7,2114.55,1665.98,2.0,1875.03,1819.11,2.0,-90.033,001-01-0000001,0.336216
1.0,8,1430.34,562.06,2.0,1424.18,553.63,2.0,-73.154,001-01-0000001,0.785383
1.0,9,470.99,900.99,2.0,562.91,645.51,2.0,-76.861,001-01-0000001,0.167663
1.0,10,438.75,2186.61,2.0,747.94,2211.36,2.0,-77.892,001-01-0000001,0.836094
1.0,11,2025.89,844.85,2.0,1764.9,970.34,2.0,-80.043,001-01-0000001,0.738083
1.0,14,-71.33,1378.56,2.0,-1.67,1259.46,2.0,-69.58,001-01-0000001,0.851941
1.0,15,1883.44,1383.44,2.0,1906.5,1411.21,2.0,-90.21,001-01-0000001,0.181072
1.0,16,696.72,1252.49,2.0,836.37,1321.72,2.0,-68.341,001-01-0000001,0.902575
1.0,17,-134.87,14.75,2.0,-190.5,438.9,2.0,-49.713,001-01-0000001,0.0
1.0,18,196.75,1918.72,2.0,-70.78,1969.01,2.0,-76.611,001-01-0000001,0.795642
1.0,19,770.33,613.66,2.0,292.4,1154.16,2.0,-72.526,001-01-0000001,0.408778
1.0,20,1304.97,910.86,2.0,1182.37,507.19,2.0,-85.889,001-01-0000001,0.083486
1.0,21,1365.89,-35.09,2.0,1281.24,-90.79,2.0,-68.983,001-01-0000001,0.865152
1.0,22,-0.42,619.16,2.0,-187.09,829.25,2.0,-68.801,001-01-0000001,0.165948
1.0,23,972.36,-209.54,2.0,1342.84,-229.36,2.0,-74.937,001-01-0000001,0.261163
1.0,24,212.8,1486.36,2.0,165.04,1218.83,2.0,-67.887,001-01-0000001,0.927591
1.0,25,2036.37,1554.43,2.0,2177.44,1597.52,2.0,-92.259,001-01-0000001,0.150808
1.0,26,376.39,2103.76,2.0,350.85,2090.52,2.0,-79.914,001-01-0000001,0.723369
1.0,27,-88.28,78.93,2.0,29.91,-101.42,2.0,-47.563,001-01-0000001,0.0
1.0,28,706.89,436.39,2.0,655.04,319.75,2.0,-60.554,001-01-0000001,0.874053
1.0,29,2036.26,1579.88,2.0,2089.36,1716.11,2.0,-85.895,001-01-0000001,0.560288
1.0,30,1629.59,1.09,2.0,1482.86,-125.25,2.0,-75.348,001-01-0000001,0.730089
1.0,32,2146.92,1972.98,2.0,1975.06,2129.63,2.0,-93.261,001-01-0000001,0.213958
1.0,34,861.4,1432.89,2.0,771.04,1517.05,2.0,-82.194,001-01-0000001,0.340289
1.0,35,1805.53,1343.02,2.0,1703.23,1414.12,2.0,-74.098,001-01-0000001,0.934497
1.0,36,-22.08,1999.04,2.0,39.18,2005.9,2.0,-76.852,001-01-0000001,0.809097
1.0,37,592.89,457.32,2.0,617.56,419.38,2.0,-56.636,001-01-0000001,0.925653
1.0,38,1076.81,174.43,2.0,912.27,204.59,2.0,-73.575,001-01-0000001,0.44987
1.0,39,1930.21,1568.15,2.0,1858.06,1552.38,2.0,-80.075,001-01-0000001,0.821832
1.0,41,833.05,-33.99,2.0,766.4,-15.95,2.0,-70.593,001-01-0000001,0.356456
1.0,43,1962.18,968.23,2.0,1976.93,956.03,2.0,-83.772,001-01-0000001,0.525723
1.0,44,328.96,1042.38,2.0,301.49,1170.25,2.0,-78.459,001-01-0000001,0.145211
1.0,45,1586.2,-96.64,2.0,1529.99,139.05,2.0,-80.324,001-01-0000001,0.409558
1.0,46,2164.09,2062.71,2.0,2173.16,1868.2,2.0,-93.197,001-01-0000001,0.242792
1.0,47,135.34,0.41,2.0,217.79,-41.15,2.0,-49.663,001-01-0000001,1e-06
1.0,48,808.15,950.84,2.0,698.48,796.42,2.0,-69.037,001-01-0000001,0.813672
1.0,49,2000.01,1500.0,2.0,2000.28,1526.92,2.0,-100.309,001-01-0000001,0.061627
1.0,50,612.5,4.18,2.0,614.84,-72.26,2.0,-65.401,001-01-0000001,0.367239
1.0,51,1992.31,351.97,2.0,1752.16,366.64,2.0,-78.307,001-01-0000001,0.756725
1.0,52,754.57,245.43,2.0,406.71,331.91,2.0,-69.924,001-01-0000001,0.347259
1.0,53,944.04,116.56,2.0,805.7,18.76,2.0,-61.027,001-01-0000001,0.916141
1.0,54,1765.54,265.54,2.0,1101.2,308.75,2.0,-83.836,001-01-0000001,0.302908
1.0,55,-76.11,1118.17,2.0,185.59,1343.27,2.0,-88.102,001-01-0000001,0.098171
1.0,56,1879.42,-174.23,2.0,2185.18,116.11,2.0,-71.469,001-01-0000001,0.930337
1.0,58,438.33,2128.36,2.0,387.09,2085.88,2.0,-90.237,001-01-0000001,0.1169
1.0,59,295.04,50.76,2.0,774.33,-238.92,2.0,-59.766,001-01-0000001,0.042672
1.0,60,1466.38,482.92,2.0,1460.72,532.82,2.0,-67.576,001-01-0000001,0.940489
1.0,61,259.41,740.54,2.0,-116.79,609.16,2.0,-64.568,001-01-0000001,0.671541
1.0,62,667.95,1603.65,2.0,666.53,1522.24,2.0,-93.242,001-01-0000001,0.026827
1.0,63,1169.49,1918.27,2.0,1186.92,1960.37,2.0,-81.894,001-01-0000001,0.663165
1.0,64,492.88,-95.76,2.0,584.74,-110.93,2.0,-54.191,001-01-0000001,0.813441
1.0,65,2154.09,1990.18,2.0,1901.34,2190.16,2.0,-79.958,001-01-0000001,0.904258
1.0,66,912.63,919.68,2.0,939.3,790.95,2.0,-63.448,001-01-0000001,0.957656
1.0,67,1308.98,1681.09,2.0,1405.5,1708.95,2.0,-66.71,001-01-0000001,0.990411
1.0,68,436.92,990.12,2.0,329.59,896.17,2.0,-70.875,001-01-0000001,0.611839
1.0,69,1034.55,1581.43,2.0,1070.1,1736.29,2.0,-80.077,001-01-0000001,0.605827
1.0,70,1934.5,2193.84,2.0,1812.69,2024.22,2.0,-81.886,001-01-0000001,0.850472
1.0,71,606.8,606.9,2.0,486.1,710.63,2.0,-61.957,001-01-0000001,0.847626
1.0,73,499.99,1270.97,2.0,334.31,1655.46,2.0,-85.143,001-01-0000001,0.025047
1.0,74,912.14,397.82,2.0,832.99,418.25,2.0,-75.156,001-01-0000001,0.24787
1.0,75,1894.76,1669.61,2.0,1893.59,2228.22,2.0,-86.954,001-01-0000001,0.471325
1.0,76,850.04,1975.24,2.0,803.82,1845.83,2.0,-75.729,001-01-0000001,0.883632
