time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,2.828071,1.252886,FAKE,1
1.0,001-01-0000002,0.808648,1.252886,LEGIT,0
1.0,001-01-0000003,0.74141,1.252886,LEGIT,0
1.0,001-01-0000004,0.742378,1.252886,LEGIT,0
1.0,001-01-0000005,0.767916,1.252886,LEGIT,0
1.0,001-01-0000006,0.886698,1.252886,LEGIT,0
1.0,001-01-0000007,0.884181,1.252886,LEGIT,0
1.0,001-01-0000008,0.923971,1.252886,LEGIT,0
1.0,001-01-0000009,0.732459,1.252886,LEGIT,0
1.0,001-01-0000010,0.973674,1.252886,LEGIT,0
1.0,001-01-0000011,0.684893,1.252886,LEGIT,0
1.0,001-01-0000012,0.844851,1.252886,LEGIT,0
1.0,001-01-0000013,0.908259,1.252886,LEGIT,0
1.0,001-01-0000014,0.913159,1.252886,LEGIT,0
1.0,001-01-0000015,1.007928,1.252886,LEGIT,0
1.0,001-01-0000016,0.884388,1.252886,LEGIT,0
1.0,001-01-0000017,0.772401,1.252886,LEGIT,0
1.0,001-01-0000018,0.786072,1.252886,LEGIT,0
1.0,001-01-0000019,0.906137,1.252886,LEGIT,0
1.0,001-01-0000020,0.834728,1.252886,LEGIT,0
1.0,001-01-0000021,0.967077,1.252886,LEGIT,0
1.0,001-01-0000022,0.830215,1.252886,LEGIT,0
1.0,001-01-0000023,0.929972,1.252886,LEGIT,0
1.0,001-01-0000024,0.983526,1.252886,LEGIT,0
1.0,001-01-0000025,0.727441,1.252886,LEGIT,0
