time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,2.769786,1.541669,FAKE,1
1.0,001-01-0000002,0.863856,1.541669,LEGIT,0
1.0,001-01-0000003,0.879524,1.541669,LEGIT,0
1.0,001-01-0000004,0.892567,1.541669,LEGIT,0
1.0,001-01-0000005,0.738356,1.541669,LEGIT,0
1.0,001-01-0000006,0.845353,1.541669,LEGIT,0
1.0,001-01-0000007,1.008058,1.541669,LEGIT,0
1.0,001-01-0000008,1.17629,1.541669,LEGIT,0
1.0,001-01-0000009,0.985812,1.541669,LEGIT,0
1.0,001-01-0000010,1.143203,1.541669,LEGIT,0
1.0,001-01-0000011,0.790085,1.541669,LEGIT,0
1.0,001-01-0000012,1.000523,1.541669,LEGIT,0
1.0,001-01-0000013,1.104279,1.541669,LEGIT,0
1.0,001-01-0000014,1.080509,1.541669,LEGIT,0
1.0,001-01-0000015,1.184882,1.541669,LEGIT,0
1.0,001-01-0000016,0.953231,1.541669,LEGIT,0
1.0,001-01-0000017,0.911687,1.541669,LEGIT,0
1.0,001-01-0000018,1.027327,1.541669,LEGIT,0
1.0,001-01-0000019,1.068114,1.541669,LEGIT,0
1.0,001-01-0000020,1.206536,1.541669,LEGIT,0
1.0,001-01-0000021,1.054891,1.541669,LEGIT,0
1.0,001-01-0000022,1.066616,1.541669,LEGIT,0
1.0,001-01-0000023,1.109208,1.541669,LEGIT,0
1.0,001-01-0000024,1.12197,1.541669,LEGIT,0
1.0,001-01-0000025,0.9025,1.541669,LEGIT,0
