time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,1,-192.51,1624.49,2.0,-500.0,1486.05,2.0,337.22
1.0,2,1468.55,659.46,2.0,1503.23,427.45,2.0,234.59
1.0,3,1665.01,1822.76,2.0,1745.98,1574.82,2.0,260.83
1.0,4,1433.31,474.67,2.0,1309.13,-81.63,2.0,569.99
1.0,5,62.47,485.63,2.0,-214.71,-29.12,2.0,584.63
1.0,6,2153.66,762.62,2.0,2449.88,466.34,2.0,418.97
1.0,7,1875.03,1819.11,2.0,2140.15,1924.49,2.0,285.29
1.0,8,1424.18,553.63,2.0,1320.46,618.7,2.0,122.45
1.0,9,562.91,645.51,2.0,433.92,762.65,2.0,174.24
1.0,10,747.94,2211.36,2.0,441.67,2152.86,2.0,311.81
1.0,11,1764.9,970.34,2.0,1997.33,785.73,2.0,296.82
1.0,14,-1.67,1259.46,2.0,-131.88,1213.37,2.0,138.12
1.0,15,1906.5,1411.21,2.0,2109.76,1684.71,2.0,340.75
1.0,17,-190.5,438.9,2.0,-323.48,161.98,2.0,307.19
1.0,18,-70.78,1969.01,2.0,-94.17,2105.39,2.0,138.36
1.0,19,292.4,1154.16,2.0,-120.44,959.87,2.0,456.27
1.0,20,1182.37,507.19,2.0,956.13,725.57,2.0,314.44
1.0,21,1281.24,-90.79,2.0,1120.48,-96.83,2.0,160.88
1.0,23,1342.84,-229.36,2.0,835.44,-458.48,2.0,556.73
1.0,24,165.04,1218.83,2.0,-94.03,1310.81,2.0,274.91
1.0,25,2177.44,1597.52,2.0,2048.26,1721.15,2.0,178.81
1.0,26,350.85,2090.52,2.0,-467.75,1980.34,2.0,825.99
1.0,27,29.91,-101.42,2.0,-42.94,40.28,2.0,159.33
1.0,29,2089.36,1716.11,2.0,1905.02,2258.61,2.0,572.97
1.0,30,1482.86,-125.25,2.0,1626.69,0.48,2.0,191.04
1.0,32,1975.06,2129.63,2.0,2363.38,1691.29,2.0,585.61
1.0,34,771.04,1517.05,2.0,258.96,828.67,2.0,857.97
1.0,36,39.18,2005.9,2.0,-392.71,1731.33,2.0,511.77
1.0,37,617.56,419.38,2.0,747.73,378.07,2.0,136.57
1.0,38,912.27,204.59,2.0,1074.24,204.29,2.0,161.97
1.0,39,1858.06,1552.38,2.0,1811.24,1648.97,2.0,107.34
1.0,41,766.4,-15.95,2.0,309.01,34.79,2.0,460.19
1.0,43,1976.93,956.03,2.0,1732.85,781.32,2.0,300.16
1.0,44,301.49,1170.25,2.0,-120.35,1212.81,2.0,423.98
1.0,45,1529.99,139.05,2.0,1702.33,-224.78,2.0,402.58
1.0,46,2173.16,1868.2,2.0,2435.25,1929.74,2.0,269.21
1.0,48,698.48,796.42,2.0,435.88,827.8,2.0,264.46
1.0,49,2000.28,1526.92,2.0,2064.59,1538.47,2.0,65.34
1.0,50,614.84,-72.26,2.0,707.22,-3.91,2.0,114.92
1.0,51,1752.16,366.64,2.0,1562.96,460.43,2.0,211.17
1.0,52,406.71,331.91,2.0,251.79,255.32,2.0,172.82
1.0,53,805.7,18.76,2.0,916.26,139.34,2.0,163.59
1.0,54,1101.2,308.75,2.0,1276.16,-19.44,2.0,371.91
1.0,55,185.59,1343.27,2.0,-165.56,1354.51,2.0,351.33
1.0,56,2185.18,116.11,2.0,1867.22,-170.06,2.0,427.78
1.0,58,387.09,2085.88,2.0,251.03,2417.11,2.0,358.09
1.0,60,1460.72,532.82,2.0,1210.11,325.26,2.0,325.4
1.0,62,666.53,1522.24,2.0,538.08,1448.56,2.0,148.07
1.0,63,1186.92,1960.37,2.0,1443.05,1730.32,2.0,344.28
1.0,65,1901.34,2190.16,2.0,2500.0,1642.65,2.0,811.28
1.0,66,939.3,790.95,2.0,840.85,850.16,2.0,114.88
1.0,68,329.59,896.17,2.0,154.93,942.14,2.0,180.61
1.0,69,1070.1,1736.29,2.0,1188.71,1929.13,2.0,226.39
1.0,70,1812.69,2024.22,2.0,1533.78,2500.0,2.0,551.51
1.0,71,486.1,710.63,2.0,593.16,851.05,2.0,176.57
1.0,73,334.31,1655.46,2.0,206.03,1526.71,2.0,181.75
1.0,74,832.99,418.25,2.0,649.45,180.22,2.0,300.58
1.0,75,1893.59,2228.22,2.0,1394.29,2069.64,2.0,523.88
1.0,76,803.82,1845.83,2.0,515.61,1822.57,2.0,289.15
1.0,77,1616.48,-39.61,2.0,1539.06,-205.7,2.0,183.25
1.0,78,1456.79,1930.51,2.0,1236.87,1733.93,2.0,294.98
1.0,80,2111.31,402.37,2.0,2330.09,310.8,2.0,237.17
1.0,81,1057.99,1273.98,2.0,958.94,1592.4,2.0,333.47
1.0,82,978.38,1315.24,2.0,1080.52,1419.78,2.0,146.16
1.0,83,2008.24,1614.59,2.0,1757.68,1837.66,2.0,335.47
1.0,85,1116.07,2072.0,2.0,1309.62,2467.31,2.0,440.15
1.0,86,2041.48,-62.27,2.0,1993.07,64.51,2.0,135.71
1.0,88,957.44,2065.61,2.0,1015.3,2122.89,2.0,81.41
1.0,90,1744.02,1698.11,2.0,1816.67,1537.19,2.0,176.55
1.0,91,556.64,473.36,2.0,726.94,630.63,2.0,231.81
1.0,92,-48.84,1574.0,2.0,-500.0,1024.98,2.0,710.61
1.0,93,1631.88,1019.92,2.0,1584.42,832.03,2.0,193.79
1.0,94,594.79,1481.75,2.0,579.89,1518.93,2.0,40.06
1.0,95,660.81,1801.87,2.0,259.1,1859.29,2.0,405.79
1.0,96,688.16,1499.78,2.0,285.65,897.95,2.0,724.03
1.0,98,215.39,2003.38,2.0,89.72,1676.97,2.0,349.77
1.0,100,835.92,284.91,2.0,360.41,99.39,2.0,510.42
1.0,101,535.11,1098.03,2.0,722.44,1078.8,2.0,188.31
1.0,102,-84.81,961.27,2.0,-209.24,1026.27,2.0,140.38
1.0,103,1756.12,1689.55,2.0,1822.55,2188.55,2.0,503.4
