time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,1.793643,1.176281,FAKE,1
1.0,001-01-0000002,0.809835,1.176281,LEGIT,0
1.0,001-01-0000003,0.79641,1.176281,LEGIT,0
1.0,001-01-0000004,0.685696,1.176281,LEGIT,0
1.0,001-01-0000005,0.810996,1.176281,LEGIT,0
1.0,001-01-0000006,0.88813,1.176281,LEGIT,0
1.0,001-01-0000007,0.910087,1.176281,LEGIT,0
1.0,001-01-0000008,1.047302,1.176281,LEGIT,0
1.0,001-01-0000009,0.699118,1.176281,LEGIT,0
1.0,001-01-0000010,0.931965,1.176281,LEGIT,0
1.0,001-01-0000011,0.764372,1.176281,LEGIT,0
1.0,001-01-0000012,0.914175,1.176281,LEGIT,0
1.0,001-01-0000013,0.870034,1.176281,LEGIT,0
1.0,001-01-0000014,0.912581,1.176281,LEGIT,0
1.0,001-01-0000015,1.003985,1.176281,LEGIT,0
1.0,001-01-0000016,0.876232,1.176281,LEGIT,0
1.0,001-01-0000017,0.745216,1.176281,LEGIT,0
1.0,001-01-0000018,0.812635,1.176281,LEGIT,0
1.0,001-01-0000019,0.924693,1.176281,LEGIT,0
1.0,001-01-0000020,0.885325,1.176281,LEGIT,0
1.0,001-01-0000021,0.91259,1.176281,LEGIT,0
1.0,001-01-0000022,0.931939,1.176281,LEGIT,0
1.0,001-01-0000023,0.952915,1.176281,LEGIT,0
1.0,001-01-0000024,0.912132,1.176281,LEGIT,0
1.0,001-01-0000025,0.716725,1.176281,LEGIT,0
