time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,2.280904,1.153199,FAKE,1
1.0,001-01-0000002,0.822937,1.153199,LEGIT,0
1.0,001-01-0000003,0.739926,1.153199,LEGIT,0
1.0,001-01-0000004,0.680546,1.153199,LEGIT,0
1.0,001-01-0000005,0.788952,1.153199,LEGIT,0
1.0,001-01-0000006,0.909803,1.153199,LEGIT,0
1.0,001-01-0000007,0.894277,1.153199,LEGIT,0
1.0,001-01-0000008,1.017763,1.153199,LEGIT,0
1.0,001-01-0000009,0.737934,1.153199,LEGIT,0
1.0,001-01-0000010,0.928513,1.153199,LEGIT,0
1.0,001-01-0000011,0.75365,1.153199,LEGIT,0
1.0,001-01-0000012,0.906336,1.153199,LEGIT,0
1.0,001-01-0000013,0.874517,1.153199,LEGIT,0
1.0,001-01-0000014,0.91911,1.153199,LEGIT,0
1.0,001-01-0000015,0.988453,1.153199,LEGIT,0
1.0,001-01-0000016,0.858838,1.153199,LEGIT,0
1.0,001-01-0000017,0.759774,1.153199,LEGIT,0
1.0,001-01-0000018,0.790108,1.153199,LEGIT,0
1.0,001-01-0000019,0.915522,1.153199,LEGIT,0
1.0,001-01-0000020,0.839178,1.153199,LEGIT,0
1.0,001-01-0000021,0.944606,1.153199,LEGIT,0
1.0,001-01-0000022,0.952491,1.153199,LEGIT,0
1.0,001-01-0000023,0.918956,1.153199,LEGIT,0
1.0,001-01-0000024,0.951863,1.153199,LEGIT,0
1.0,001-01-0000025,0.754834,1.153199,LEGIT,0
