time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,1,-192.51,1624.49,2.0,-2.04,1758.13,2.0,232.68
1.0,2,1468.55,659.46,2.0,1553.99,370.83,2.0,301.01
1.0,3,1665.01,1822.76,2.0,1572.36,1885.71,2.0,112.01
1.0,4,1433.31,474.67,2.0,1356.29,499.93,2.0,81.05
1.0,5,62.47,485.63,2.0,-16.27,480.12,2.0,78.93
1.0,6,2153.66,762.62,2.0,1642.25,993.71,2.0,561.19
1.0,7,1875.03,1819.11,2.0,2114.55,1665.98,2.0,284.29
1.0,8,1424.18,553.63,2.0,1428.24,559.62,2.0,7.23
1.0,9,562.91,645.51,2.0,468.92,901.62,2.0,272.81
1.0,10,747.94,2211.36,2.0,438.75,2186.61,2.0,310.18
1.0,11,1764.9,970.34,2.0,2018.28,843.77,2.0,283.23
1.0,12,-35.31,129.63,2.0,-123.2,20.23,2.0,140.33
1.0,14,-1.67,1259.46,2.0,-70.21,1377.9,2.0,136.85
1.0,15,1906.5,1411.21,2.0,1883.44,1383.44,2.0,36.1
1.0,16,836.37,1321.72,2.0,684.36,1195.5,2.0,197.58
1.0,17,-190.5,438.9,2.0,-134.87,14.75,2.0,427.78
1.0,18,-70.78,1969.01,2.0,196.75,1918.71,2.0,272.21
1.0,19,292.4,1154.16,2.0,770.31,613.62,2.0,721.52
1.0,20,1182.37,507.19,2.0,1305.47,909.78,2.0,420.98
1.0,21,1281.24,-90.79,2.0,1365.77,-34.62,2.0,101.49
1.0,22,-187.09,829.25,2.0,-0.03,608.77,2.0,289.14
1.0,23,1342.84,-229.36,2.0,970.41,-209.27,2.0,372.97
1.0,24,165.04,1218.83,2.0,212.8,1486.36,2.0,271.75
1.0,25,2177.44,1597.52,2.0,2036.37,1554.43,2.0,147.5
1.0,26,350.85,2090.52,2.0,375.49,2102.68,2.0,27.48
1.0,27,29.91,-101.42,2.0,-88.28,78.93,2.0,215.62
1.0,29,2089.36,1716.11,2.0,2035.58,1580.18,2.0,146.18
1.0,30,1482.86,-125.25,2.0,1629.59,1.13,2.0,193.66
1.0,32,1975.06,2129.63,2.0,2145.56,1966.4,2.0,236.04
1.0,33,276.88,80.04,2.0,360.32,354.08,2.0,286.46
1.0,34,771.04,1517.05,2.0,862.56,1430.54,2.0,125.93
1.0,35,1703.23,1414.12,2.0,1804.14,1340.34,2.0,124.99
1.0,36,39.18,2005.9,2.0,-22.08,1999.04,2.0,61.65
1.0,38,912.27,204.59,2.0,1068.04,178.03,2.0,158.02
1.0,39,1858.06,1552.38,2.0,1927.28,1565.01,2.0,70.37
1.0,41,766.4,-15.95,2.0,832.96,-33.58,2.0,68.86
1.0,42,-31.37,194.83,2.0,83.59,-200.85,2.0,412.04
1.0,43,1976.93,956.03,2.0,1961.81,968.67,2.0,19.7
1.0,44,301.49,1170.25,2.0,328.96,1042.38,2.0,130.79
1.0,45,1529.99,139.05,2.0,1584.16,-98.42,2.0,243.57
1.0,46,2173.16,1868.2,2.0,2165.24,2059.63,2.0,191.59
1.0,47,217.79,-41.15,2.0,135.34,0.41,2.0,92.33
1.0,48,698.48,796.42,2.0,808.87,948.09,2.0,187.6
1.0,49,2000.28,1526.92,2.0,2000.01,1500.0,2.0,26.92
1.0,50,614.84,-72.26,2.0,612.5,4.2,2.0,76.49
1.0,51,1752.16,366.64,2.0,1992.18,351.97,2.0,240.47
1.0,53,805.7,18.76,2.0,941.34,115.23,2.0,166.45
1.0,54,1101.2,308.75,2.0,1765.54,265.54,2.0,665.74
1.0,55,185.59,1343.27,2.0,-78.73,1116.44,2.0,348.3
1.0,56,2185.18,116.11,2.0,1877.43,-172.84,2.0,422.13
1.0,58,387.09,2085.88,2.0,436.21,2127.32,2.0,64.27
1.0,59,774.33,-238.92,2.0,290.25,24.37,2.0,551.05
1.0,60,1460.72,532.82,2.0,1466.32,483.04,2.0,50.09
1.0,61,-116.79,609.16,2.0,259.41,740.54,2.0,398.49
1.0,62,666.53,1522.24,2.0,689.5,1555.16,2.0,40.14
