time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,1,-192.51,1624.49,2.0,-500.0,1511.36,2.0,327.64
1.0,2,1468.55,659.46,2.0,1536.94,442.46,2.0,227.53
1.0,3,1665.01,1822.76,2.0,1774.99,1608.6,2.0,240.76
1.0,4,1433.31,474.67,2.0,1321.42,-79.87,2.0,565.71
1.0,5,62.47,485.63,2.0,-218.07,-27.89,2.0,585.15
1.0,6,2153.66,762.62,2.0,2500.0,524.26,2.0,420.44
1.0,7,1875.03,1819.11,2.0,2149.74,1937.12,2.0,298.99
1.0,8,1424.18,553.63,2.0,1332.14,624.32,2.0,116.05
1.0,9,562.91,645.51,2.0,434.03,762.91,2.0,174.33
1.0,10,747.94,2211.36,2.0,441.67,2152.86,2.0,311.81
1.0,11,1764.9,970.34,2.0,2016.3,797.24,2.0,305.23
1.0,12,-35.31,129.63,2.0,-255.73,129.08,2.0,220.42
1.0,14,-1.67,1259.46,2.0,-130.33,1230.8,2.0,131.81
1.0,15,1906.5,1411.21,2.0,2135.79,1706.82,2.0,374.11
1.0,16,836.37,1321.72,2.0,607.3,1320.05,2.0,229.08
1.0,17,-190.5,438.9,2.0,-323.48,161.98,2.0,307.19
1.0,18,-70.78,1969.01,2.0,-63.06,2148.68,2.0,179.83
1.0,19,292.4,1154.16,2.0,-121.7,977.22,2.0,450.32
1.0,20,1182.37,507.19,2.0,981.06,741.06,2.0,308.57
1.0,21,1281.24,-90.79,2.0,1138.45,-95.57,2.0,142.87
1.0,22,-187.09,829.25,2.0,-109.89,541.58,2.0,297.85
1.0,23,1342.84,-229.36,2.0,869.15,-465.45,2.0,529.27
1.0,24,165.04,1218.83,2.0,-93.02,1321.31,2.0,277.66
1.0,25,2177.44,1597.52,2.0,2071.92,1746.21,2.0,182.33
1.0,26,350.85,2090.52,2.0,-443.01,2032.85,2.0,795.96
1.0,27,29.91,-101.42,2.0,-42.95,40.28,2.0,159.33
1.0,29,2089.36,1716.11,2.0,1920.29,2273.48,2.0,582.45
1.0,30,1482.86,-125.25,2.0,1655.89,13.02,2.0,221.5
1.0,32,1975.06,2129.63,2.0,2383.04,1725.22,2.0,574.46
1.0,33,276.88,80.04,2.0,48.22,195.06,2.0,255.96
1.0,34,771.04,1517.05,2.0,265.92,882.17,2.0,811.3
1.0,35,1703.23,1414.12,2.0,2041.29,1161.34,2.0,422.11
1.0,36,39.18,2005.9,2.0,-388.66,1744.76,2.0,501.24
1.0,38,912.27,204.59,2.0,1087.45,207.26,2.0,175.2
1.0,39,1858.06,1552.38,2.0,1825.45,1659.76,2.0,112.22
