timestamp,ue_id,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,rsrp_observed,ecgi,anomaly_score_wi
1.0,1,-0.03,1664.01,2.0,-192.51,1624.49,2.0,-63.443,001-01-0000001,0.987639
1.0,2,1490.11,360.35,2.0,1468.55,659.46,2.0,-76.364,001-01-0000001,0.623235
1.0,3,1561.8,1879.67,2.0,1665.01,1822.76,2.0,-86.919,001-01-0000001,0.438264
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,-61.736,001-01-0000001,0.985043
1.0,5,-16.23,480.08,2.0,62.47,485.63,2.0,-40.602,001-01-0000001,0.994856
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,-90.953,001-01-0000001,0.019286
1.0,7,2114.25,1666.19,2.0,1875.03,1819.11,2.0,-89.726,001-01-0000001,0.356506
1.0,8,1426.1,556.94,2.0,1424.18,553.63,2.0,-64.681,001-01-0000001,0.972336
1.0,9,468.35,901.8,2.0,562.91,645.51,2.0,-62.005,001-01-0000001,0.918174
1.0,10,438.75,2186.61,2.0,747.94,2211.36,2.0,-77.892,001-01-0000001,0.836094
1.0,11,2007.78,842.9,2.0,1764.9,970.34,2.0,-72.293,001-01-0000001,0.953154
1.0,12,-123.2,20.23,2.0,-35.31,129.63,2.0,-48.396,001-01-0000001,0.0
1.0,14,-68.4,1376.88,2.0,-1.67,1259.46,2.0,-62.18,001-01-0000001,0.978152
1.0,15,1883.44,1383.44,2.0,1906.5,1411.21,2.0,-83.481,001-01-0000001,0.609583
1.0,17,-134.87,14.75,2.0,-190.5,438.9,2.0,-49.713,001-01-0000001,0.0
1.0,18,196.74,1918.7,2.0,-70.78,1969.01,2.0,-70.032,001-01-0000001,0.956611
1.0,19,755.31,576.32,2.0,292.4,1154.16,2.0,-63.557,001-01-0000001,0.849539
1.0,20,1306.11,908.4,2.0,1182.37,507.19,2.0,-78.051,001-01-0000001,0.558284
1.0,21,1365.54,-33.72,2.0,1281.24,-90.79,2.0,-61.975,001-01-0000001,0.978514
1.0,23,965.03,-208.44,2.0,1342.84,-229.36,2.0,-68.455,001-01-0000001,0.66403
1.0,24,379.04,1239.11,2.0,165.04,1218.83,2.0,-64.895,001-01-0000001,0.937662
1.0,25,2034.02,1555.93,2.0,2177.44,1597.52,2.0,-88.554,001-01-0000001,0.380285
1.0,26,373.67,2100.43,2.0,350.85,2090.52,2.0,-72.939,001-01-0000001,0.939199
1.0,27,-88.28,78.93,2.0,29.91,-101.42,2.0,-47.563,001-01-0000001,0.0
1.0,29,2034.18,1580.79,2.0,2089.36,1716.11,2.0,-78.826,001-01-0000001,0.87968
1.0,30,1629.58,1.24,2.0,1482.86,-125.25,2.0,-68.57,001-01-0000001,0.938733
1.0,32,2141.54,1952.22,2.0,1975.06,2129.63,2.0,-86.344,001-01-0000001,0.64689
1.0,33,375.14,363.62,2.0,276.88,80.04,2.0,-61.564,001-01-0000001,0.449975
1.0,34,863.89,1427.97,2.0,771.04,1517.05,2.0,-73.896,001-01-0000001,0.80942
1.0,35,1285.47,1231.69,2.0,1703.23,1414.12,2.0,-66.483,001-01-0000001,0.977288
1.0,36,-22.08,1999.04,2.0,39.18,2005.9,2.0,-76.852,001-01-0000001,0.809097
1.0,38,1060.46,180.75,2.0,912.27,204.59,2.0,-63.826,001-01-0000001,0.898622
1.0,39,1922.69,1559.48,2.0,1858.06,1552.38,2.0,-72.721,001-01-0000001,0.97072
1.0,41,832.84,-32.94,2.0,766.4,-15.95,2.0,-63.124,001-01-0000001,0.78717
1.0,42,83.59,-200.85,2.0,-31.37,194.83,2.0,-57.283,001-01-0000001,0.0
1.0,43,1961.29,969.32,2.0,1976.93,956.03,2.0,-76.352,001-01-0000001,0.874294
1.0,44,328.96,1042.38,2.0,301.49,1170.25,2.0,-78.459,001-01-0000001,0.145211
1.0,45,1580.53,-101.41,2.0,1529.99,139.05,2.0,-72.884,001-01-0000001,0.815335
1.0,46,2167.7,2052.31,2.0,2173.16,1868.2,2.0,-86.256,001-01-0000001,0.678178
1.0,47,135.34,0.41,2.0,217.79,-41.15,2.0,-49.663,001-01-0000001,1e-06
1.0,48,775.52,775.52,2.0,698.48,796.42,2.0,-57.075,001-01-0000001,0.985762
1.0,49,2000.01,1500.0,2.0,2000.28,1526.92,2.0,-97.778,001-01-0000001,0.00308
1.0,50,612.5,4.31,2.0,614.84,-72.26,2.0,-59.765,001-01-0000001,0.711186
1.0,51,1991.96,351.98,2.0,1752.16,366.64,2.0,-70.844,001-01-0000001,0.956196
1.0,53,881.05,50.68,2.0,805.7,18.76,2.0,-53.04,001-01-0000001,0.98784
1.0,54,1765.54,265.54,2.0,1101.2,308.75,2.0,-74.543,001-01-0000001,0.826192
1.0,55,-82.48,1113.82,2.0,185.59,1343.27,2.0,-80.152,001-01-0000001,0.081665
