time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,3.028778,1.480643,FAKE,1
1.0,001-01-0000002,0.892616,1.480643,LEGIT,0
1.0,001-01-0000003,0.818107,1.480643,LEGIT,0
1.0,001-01-0000004,0.894692,1.480643,LEGIT,0
1.0,001-01-0000005,0.761823,1.480643,LEGIT,0
1.0,001-01-0000006,0.940268,1.480643,LEGIT,0
1.0,001-01-0000007,0.947786,1.480643,LEGIT,0
1.0,001-01-0000008,1.215103,1.480643,LEGIT,0
1.0,001-01-0000009,0.98718,1.480643,LEGIT,0
1.0,001-01-0000010,1.12655,1.480643,LEGIT,0
1.0,001-01-0000011,0.792086,1.480643,LEGIT,0
1.0,001-01-0000012,1.029603,1.480643,LEGIT,0
1.0,001-01-0000013,1.026529,1.480643,LEGIT,0
1.0,001-01-0000014,1.032658,1.480643,LEGIT,0
1.0,001-01-0000015,1.156538,1.480643,LEGIT,0
1.0,001-01-0000016,0.907587,1.480643,LEGIT,0
1.0,001-01-0000017,0.889515,1.480643,LEGIT,0
1.0,001-01-0000018,0.952988,1.480643,LEGIT,0
1.0,001-01-0000019,1.056108,1.480643,LEGIT,0
1.0,001-01-0000020,1.178881,1.480643,LEGIT,0
1.0,001-01-0000021,1.028925,1.480643,LEGIT,0
1.0,001-01-0000022,1.10282,1.480643,LEGIT,0
1.0,001-01-0000023,1.023849,1.480643,LEGIT,0
1.0,001-01-0000024,1.117514,1.480643,LEGIT,0
1.0,001-01-0000025,0.883358,1.480643,LEGIT,0
