time_sec,imsi,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,ecgi,cell_role,rsrp_dbm,timing_advance
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000001,N,-71.364,15
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000002,N,-82.028,15
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000003,N,-89.69,10
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000004,N,-77.576,8
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000005,N,-79.872,11
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000006,N,-80.783,19
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000007,N,-67.447,13
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000008,N,-65.987,6
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000009,S,-50.212,2
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000010,N,-80.72,7
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000011,N,-100.153,19
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000012,N,-81.011,13
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000013,N,-72.11,7
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000014,N,-59.751,4
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000015,N,-68.957,8
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000016,N,-87.803,22
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000017,N,-97.9,16
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000018,N,-74.336,12
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000019,N,-80.123,11
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000020,N,-89.656,13
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000021,N,-96.643,25
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000022,N,-101.507,21
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000023,N,-90.582,18
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000024,N,-80.886,17
1.0,2,1462.74,365.05,2.0,1468.55,659.46,2.0,001-01-0000025,N,-90.701,18
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000001,N,-81.919,25
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000002,N,-87.289,28
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000003,N,-99.626,25
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000004,N,-86.554,23
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000005,N,-77.197,24
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000006,N,-91.25,27
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000007,N,-96.362,23
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000008,N,-92.689,19
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000009,N,-86.692,17
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000010,N,-84.155,17
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000011,N,-91.708,24
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000012,N,-83.887,18
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000013,N,-84.199,14
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000014,N,-77.797,11
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000015,N,-72.454,11
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000016,N,-99.247,22
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000017,N,-84.331,15
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000018,N,-76.327,9
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000019,N,-58.197,5
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000020,N,-71.436,6
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000021,N,-85.294,21
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000022,N,-75.962,15
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000023,N,-90.806,9
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000024,S,-49.666,3
1.0,3,1554.11,1876.02,2.0,1665.01,1822.76,2.0,001-01-0000025,N,-74.169,5
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000001,N,-56.736,14
