time_sec,imsi,ue_x,ue_y,ue_z,cell_id,ecgi,cell_role,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,2,1468.545,659.461,2.000,26,001-01-0000001,N,-71.364,-8.468,-20.520,15
1.000,2,1468.545,659.461,2.000,2,001-01-0000002,N,-82.028,-21.315,-35.650,15
1.000,2,1468.545,659.461,2.000,3,001-01-0000003,N,-89.690,-26.024,-40.000,10
1.000,2,1468.545,659.461,2.000,4,001-01-0000004,N,-77.576,-10.274,-28.597,8
1.000,2,1468.545,659.461,2.000,5,001-01-0000005,N,-79.872,-18.274,-32.888,11
1.000,2,1468.545,659.461,2.000,6,001-01-0000006,N,-80.783,-18.337,-33.057,19
1.000,2,1468.545,659.461,2.000,7,001-01-0000007,N,-67.447,-8.218,-14.154,13
1.000,2,1468.545,659.461,2.000,8,001-01-0000008,N,-65.987,-2.606,-16.540,6
1.000,2,1468.545,659.461,2.000,9,001-01-0000009,S,-50.212,14.836,3.900,2
1.000,2,1468.545,659.461,2.000,10,001-01-0000010,N,-80.720,-18.825,-29.912,7
1.000,2,1468.545,659.461,2.000,11,001-01-0000011,N,-100.153,-36.870,-40.000,19
1.000,2,1468.545,659.461,2.000,12,001-01-0000012,N,-81.011,-17.759,-32.300,13
1.000,2,1468.545,659.461,2.000,13,001-01-0000013,N,-72.110,-5.831,-19.456,7
1.000,2,1468.545,659.461,2.000,14,001-01-0000014,N,-59.751,-1.337,-5.454,4
1.000,2,1468.545,659.461,2.000,15,001-01-0000015,N,-68.957,-1.228,-15.781,8
1.000,2,1468.545,659.461,2.000,16,001-01-0000016,N,-87.803,-24.819,-40.000,22
1.000,2,1468.545,659.461,2.000,17,001-01-0000017,N,-97.900,-33.033,-40.000,16
1.000,2,1468.545,659.461,2.000,18,001-01-0000018,N,-74.336,-10.212,-24.955,12
1.000,2,1468.545,659.461,2.000,19,001-01-0000019,N,-80.123,-14.275,-31.855,11
1.000,2,1468.545,659.461,2.000,20,001-01-0000020,N,-89.656,-27.130,-39.089,13
1.000,2,1468.545,659.461,2.000,21,001-01-0000021,N,-96.643,-29.363,-40.000,25
1.000,2,1468.545,659.461,2.000,22,001-01-0000022,N,-101.507,-38.928,-40.000,21
1.000,2,1468.545,659.461,2.000,23,001-01-0000023,N,-90.582,-25.733,-40.000,18
1.000,2,1468.545,659.461,2.000,24,001-01-0000024,N,-80.886,-18.547,-28.161,17
1.000,2,1468.545,659.461,2.000,25,001-01-0000025,N,-90.701,-26.433,-40.000,18
1.000,3,1665.008,1822.764,2.000,26,001-01-0000001,N,-81.919,-24.702,-35.330,25
1.000,3,1665.008,1822.764,2.000,2,001-01-0000002,N,-87.289,-24.323,-39.442,28
1.000,3,1665.008,1822.764,2.000,3,001-01-0000003,N,-99.626,-37.574,-40.000,25
1.000,3,1665.008,1822.764,2.000,4,001-01-0000004,N,-86.554,-21.843,-34.681,23
1.000,3,1665.008,1822.764,2.000,5,001-01-0000005,N,-77.197,-13.385,-33.854,24
1.000,3,1665.008,1822.764,2.000,6,001-01-0000006,N,-91.250,-23.727,-40.000,27
1.000,3,1665.008,1822.764,2.000,7,001-01-0000007,N,-96.362,-32.307,-40.000,23
1.000,3,1665.008,1822.764,2.000,8,001-01-0000008,N,-92.689,-29.736,-40.000,19
1.000,3,1665.008,1822.764,2.000,9,001-01-0000009,N,-86.692,-23.998,-35.078,17
1.000,3,1665.008,1822.764,2.000,10,001-01-0000010,N,-84.155,-18.579,-39.188,17
1.000,3,1665.008,1822.764,2.000,11,001-01-0000011,N,-91.708,-27.031,-40.000,24
1.000,3,1665.008,1822.764,2.000,12,001-01-0000012,N,-83.887,-20.920,-39.601,18
1.000,3,1665.008,1822.764,2.000,13,001-01-0000013,N,-84.199,-18.263,-34.010,14
1.000,3,1665.008,1822.764,2.000,14,001-01-0000014,N,-77.797,-18.388,-29.524,11
