time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,2,1468.55,659.46,2.0,1462.74,365.05,2.0,294.47
1.0,3,1665.01,1822.76,2.0,1554.11,1876.02,2.0,123.02
1.0,4,1433.31,474.67,2.0,1316.48,451.27,2.0,119.16
1.0,5,62.47,485.63,2.0,-16.2,480.06,2.0,78.86
1.0,6,2153.66,762.62,2.0,2357.76,993.7,2.0,308.31
1.0,7,1875.03,1819.11,2.0,2109.67,1669.24,2.0,278.42
1.0,8,1424.18,553.63,2.0,1424.65,555.01,2.0,1.45
1.0,9,562.91,645.51,2.0,467.97,901.92,2.0,273.43
1.0,10,747.94,2211.36,2.0,438.76,2186.62,2.0,310.18
1.0,11,1764.9,970.34,2.0,2000.44,842.71,2.0,267.89
1.0,12,-35.31,129.63,2.0,-123.2,20.23,2.0,140.33
1.0,14,-1.67,1259.46,2.0,-67.12,1376.18,2.0,133.83
1.0,15,1906.5,1411.21,2.0,1883.44,1383.44,2.0,36.1
1.0,17,-190.5,438.9,2.0,-134.87,14.75,2.0,427.78
1.0,18,-70.78,1969.01,2.0,196.73,1918.68,2.0,272.21
1.0,20,1182.37,507.19,2.0,1306.56,907.46,2.0,419.09
1.0,21,1281.24,-90.79,2.0,1365.39,-33.08,2.0,102.03
1.0,23,1342.84,-229.36,2.0,961.09,-207.74,2.0,382.36
1.0,25,2177.44,1597.52,2.0,2030.87,1557.73,2.0,151.88
1.0,26,350.85,2090.52,2.0,372.33,2098.72,2.0,22.99
1.0,27,29.91,-101.42,2.0,-88.28,78.93,2.0,215.62
1.0,29,2089.36,1716.11,2.0,2033.09,1581.24,2.0,146.14
1.0,30,1482.86,-125.25,2.0,1629.58,1.32,2.0,193.78
1.0,32,1975.06,2129.63,2.0,2137.56,1941.75,2.0,248.4
1.0,34,771.04,1517.05,2.0,864.84,1426.2,2.0,130.58
1.0,36,39.18,2005.9,2.0,-22.02,1998.13,2.0,61.7
1.0,38,912.27,204.59,2.0,798.99,0.04,2.0,233.82
1.0,39,1858.06,1552.38,2.0,1919.63,1555.27,2.0,61.64
1.0,41,766.4,-15.95,2.0,832.75,-32.48,2.0,68.38
1.0,43,1976.93,956.03,2.0,1960.95,969.75,2.0,21.06
1.0,44,301.49,1170.25,2.0,328.87,1042.0,2.0,131.14
1.0,45,1529.99,139.05,2.0,1577.63,-103.65,2.0,247.33
1.0,46,2173.16,1868.2,2.0,2169.52,2046.09,2.0,177.92
1.0,47,217.79,-41.15,2.0,135.34,0.41,2.0,92.33
1.0,49,2000.28,1526.92,2.0,2000.0,1500.0,2.0,26.92
1.0,50,614.84,-72.26,2.0,612.5,4.41,2.0,76.7
1.0,51,1752.16,366.64,2.0,1991.8,351.99,2.0,240.09
1.0,54,1101.2,308.75,2.0,1765.54,265.54,2.0,665.74
1.0,55,185.59,1343.27,2.0,-85.46,1111.6,2.0,356.56
1.0,56,2185.18,116.11,2.0,1788.04,-3.89,2.0,414.87
1.0,58,387.09,2085.88,2.0,428.25,2123.01,2.0,55.44
1.0,60,1460.72,532.82,2.0,1466.21,483.27,2.0,49.85
1.0,62,666.53,1522.24,2.0,533.2,1305.45,2.0,254.5
1.0,63,1186.92,1960.37,2.0,1161.32,1903.12,2.0,62.72
1.0,64,584.74,-110.93,2.0,335.67,-0.01,2.0,272.65
1.0,65,1901.34,2190.16,2.0,2153.15,1980.37,2.0,327.75
1.0,66,939.3,790.95,2.0,903.08,903.08,2.0,117.83
1.0,68,329.59,896.17,2.0,437.55,986.74,2.0,140.92
1.0,69,1070.1,1736.29,2.0,1033.27,1581.96,2.0,158.66
1.0,70,1812.69,2024.22,2.0,1920.6,2188.57,2.0,196.61
1.0,73,334.31,1655.46,2.0,499.99,1270.97,2.0,418.66
1.0,74,832.99,418.25,2.0,910.65,399.13,2.0,79.98
1.0,75,1893.59,2228.22,2.0,1873.06,1654.04,2.0,574.54
1.0,76,803.82,1845.83,2.0,850.04,1975.24,2.0,137.42
1.0,77,1616.48,-39.61,2.0,1530.57,-116.91,2.0,115.57
1.0,78,1456.79,1930.51,2.0,1452.2,1942.36,2.0,12.71
1.0,80,2111.31,402.37,2.0,2066.86,462.9,2.0,75.09
1.0,81,1057.99,1273.98,2.0,707.95,1212.53,2.0,355.39
1.0,82,978.38,1315.24,2.0,857.45,1288.69,2.0,123.81
1.0,83,2008.24,1614.59,2.0,1963.06,1562.67,2.0,68.82
1.0,85,1116.07,2072.0,2.0,1021.5,2059.31,2.0,95.42
1.0,86,2041.48,-62.27,2.0,1993.97,74.08,2.0,144.39
1.0,88,957.44,2065.61,2.0,1009.24,2111.43,2.0,69.16
1.0,89,-116.79,340.15,2.0,-0.01,218.17,2.0,168.87
1.0,90,1744.02,1698.11,2.0,1060.58,1060.96,2.0,934.37
1.0,91,556.64,473.36,2.0,273.76,273.76,2.0,346.21
1.0,92,-48.84,1574.0,2.0,-42.55,1496.64,2.0,77.62
1.0,93,1631.88,1019.92,2.0,1534.61,920.93,2.0,138.78
1.0,94,594.79,1481.75,2.0,684.59,1560.45,2.0,119.4
1.0,95,660.81,1801.87,2.0,370.62,1668.0,2.0,319.58
1.0,96,688.16,1499.78,2.0,401.74,1205.22,2.0,410.86
1.0,100,835.92,284.91,2.0,859.58,385.68,2.0,103.51
1.0,101,535.11,1098.03,2.0,620.95,1042.12,2.0,102.44
1.0,102,-84.81,961.27,2.0,-108.02,1008.78,2.0,52.87
1.0,103,1756.12,1689.55,2.0,1501.46,1787.43,2.0,272.82
1.0,104,1848.46,859.72,2.0,1666.48,1022.82,2.0,244.38
1.0,106,1236.89,2231.36,2.0,594.56,2209.29,2.0,642.71
1.0,108,1929.51,21.71,2.0,1942.41,-17.17,2.0,40.96
1.0,109,1649.68,-57.1,2.0,1850.51,-1.53,2.0,208.38
1.0,110,1507.37,2068.26,2.0,1538.59,2046.52,2.0,38.04
