timestamp,ue_id,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,rsrp_observed,ecgi,anomaly_score_wi
1.0,1,-2.04,1758.13,2.0,-192.51,1624.49,2.0,-76.181,001-01-0000001,0.749168
1.0,2,1639.5,488.13,2.0,1468.55,659.46,2.0,-91.768,001-01-0000001,0.004878
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,-93.002,001-01-0000001,0.082948
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,-77.108,001-01-0000001,0.519046
1.0,5,-16.45,480.26,2.0,62.47,485.63,2.0,-57.567,001-01-0000001,0.615673
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,-97.732,001-01-0000001,0.139229
1.0,7,2114.55,1665.98,2.0,1875.03,1819.11,2.0,-90.033,001-01-0000001,0.336216
1.0,8,1437.22,569.01,2.0,1424.18,553.63,2.0,-80.208,001-01-0000001,0.387176
1.0,9,474.08,900.13,2.0,562.91,645.51,2.0,-83.551,001-01-0000001,0.008175
1.0,10,438.75,2186.61,2.0,747.94,2211.36,2.0,-77.892,001-01-0000001,0.836094
1.0,11,2051.73,851.46,2.0,1764.9,970.34,2.0,-86.672,001-01-0000001,0.351012
1.0,13,689.83,0.0,2.0,846.6,136.55,2.0,-59.304,001-01-0000001,0.815913
1.0,14,-75.86,1381.34,2.0,-1.67,1259.46,2.0,-76.392,001-01-0000001,0.519022
1.0,15,1883.44,1383.44,2.0,1906.5,1411.21,2.0,-90.21,001-01-0000001,0.181072
1.0,16,696.71,1252.48,2.0,836.37,1321.72,2.0,-75.509,001-01-0000001,0.608971
1.0,17,-134.87,14.75,2.0,-190.5,438.9,2.0,-49.713,001-01-0000001,0.0
1.0,18,196.76,1918.75,2.0,-70.78,1969.01,2.0,-82.729,001-01-0000001,0.459801
1.0,19,770.39,613.78,2.0,292.4,1154.16,2.0,-79.989,001-01-0000001,0.020862
1.0,20,1304.97,910.86,2.0,1182.37,507.19,2.0,-85.889,001-01-0000001,0.083486
1.0,21,1366.48,-37.24,2.0,1281.24,-90.79,2.0,-75.602,001-01-0000001,0.556549
1.0,22,337.74,825.89,2.0,-187.09,829.25,2.0,-75.114,001-01-0000001,0.146932
1.0,23,982.94,-210.66,2.0,1342.84,-229.36,2.0,-81.246,001-01-0000001,0.005365
1.0,24,212.8,1486.36,2.0,165.04,1218.83,2.0,-67.887,001-01-0000001,0.927591
1.0,25,2036.37,1554.43,2.0,2177.44,1597.52,2.0,-92.259,001-01-0000001,0.150808
1.0,26,380.08,2108.0,2.0,350.85,2090.52,2.0,-86.19,001-01-0000001,0.343575
1.0,27,-88.28,78.93,2.0,29.91,-101.42,2.0,-47.563,001-01-0000001,0.0
1.0,28,707.45,438.21,2.0,655.04,319.75,2.0,-70.341,001-01-0000001,0.371166
1.0,29,2038.71,1578.72,2.0,2089.36,1716.11,2.0,-92.143,001-01-0000001,0.162812
1.0,30,1629.59,0.94,2.0,1482.86,-125.25,2.0,-81.726,001-01-0000001,0.34358
1.0,32,2149.18,1992.12,2.0,1975.06,2129.63,2.0,-98.015,001-01-0000001,0.016152
1.0,33,360.32,354.08,2.0,276.88,80.04,2.0,-65.865,001-01-0000001,0.145418
1.0,34,857.9,1440.64,2.0,771.04,1517.05,2.0,-89.115,001-01-0000001,0.01221
1.0,35,1809.96,1351.97,2.0,1703.23,1414.12,2.0,-80.637,001-01-0000001,0.732219
1.0,36,-22.08,1999.04,2.0,39.18,2005.9,2.0,-76.852,001-01-0000001,0.809097
1.0,37,594.68,461.45,2.0,617.56,419.38,2.0,-66.584,001-01-0000001,0.510992
1.0,38,1091.35,167.28,2.0,912.27,204.59,2.0,-80.075,001-01-0000001,0.077109
1.0,39,1930.6,1568.54,2.0,1858.06,1552.38,2.0,-80.352,001-01-0000001,0.811691
1.0,41,833.45,-35.9,2.0,766.4,-15.95,2.0,-78.425,001-01-0000001,0.003137
1.0,42,83.59,-200.85,2.0,-31.37,194.83,2.0,-57.283,001-01-0000001,0.0
1.0,43,1963.9,966.29,2.0,1976.93,956.03,2.0,-90.231,001-01-0000001,0.122946
1.0,44,328.96,1042.38,2.0,301.49,1170.25,2.0,-78.459,001-01-0000001,0.145211
1.0,45,1592.23,-90.9,2.0,1529.99,139.05,2.0,-86.551,001-01-0000001,0.058967
1.0,46,2161.98,2067.99,2.0,2173.16,1868.2,2.0,-96.379,001-01-0000001,0.07593
1.0,47,135.34,0.41,2.0,217.79,-41.15,2.0,-49.663,001-01-0000001,1e-06
1.0,48,806.77,956.57,2.0,698.48,796.42,2.0,-77.443,001-01-0000001,0.341701
1.0,49,2000.01,1500.0,2.0,2000.28,1526.92,2.0,-100.309,001-01-0000001,0.061627
1.0,50,612.51,4.05,2.0,614.84,-72.26,2.0,-69.522,001-01-0000001,0.11922
1.0,51,1992.49,351.96,2.0,1752.16,366.64,2.0,-81.096,001-01-0000001,0.611483
1.0,52,754.57,245.43,2.0,406.71,331.91,2.0,-69.924,001-01-0000001,0.347259
1.0,53,954.98,121.21,2.0,805.7,18.76,2.0,-68.909,001-01-0000001,0.615045
1.0,54,1765.54,265.54,2.0,1101.2,308.75,2.0,-87.387,001-01-0000001,0.100104
1.0,55,-71.05,1121.28,2.0,185.59,1343.27,2.0,-93.005,001-01-0000001,0.386776
1.0,56,1889.59,-180.84,2.0,2185.18,116.11,2.0,-77.583,001-01-0000001,0.742218
1.0,57,1498.8,600.87,2.0,1224.61,231.63,2.0,-70.555,001-01-0000001,0.896248
1.0,58,446.21,2131.86,2.0,387.09,2085.88,2.0,-96.53,001-01-0000001,0.017658
1.0,59,330.53,125.96,2.0,774.33,-238.92,2.0,-66.284,001-01-0000001,0.007546
1.0,60,1466.58,482.54,2.0,1460.72,532.82,2.0,-74.569,001-01-0000001,0.725136
1.0,61,259.42,740.55,2.0,-116.79,609.16,2.0,-72.005,001-01-0000001,0.203716
1.0,62,649.72,1628.59,2.0,666.53,1522.24,2.0,-96.032,001-01-0000001,0.12789
1.0,63,1175.05,1930.96,2.0,1186.92,1960.37,2.0,-87.781,001-01-0000001,0.296835
1.0,64,494.71,-95.88,2.0,584.74,-110.93,2.0,-61.709,001-01-0000001,0.401242
