time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,1,-192.51,1624.49,2.0,-500.0,1548.28,2.0,316.8
1.0,2,1468.55,659.46,2.0,1616.09,485.66,2.0,227.99
1.0,3,1665.01,1822.76,2.0,1780.33,1614.61,2.0,237.96
1.0,4,1433.31,474.67,2.0,1353.95,-75.54,2.0,555.91
1.0,5,62.47,485.63,2.0,-227.19,-24.32,2.0,586.46
1.0,6,2153.66,762.62,2.0,2500.0,532.94,2.0,415.58
1.0,7,1875.03,1819.11,2.0,2149.74,1937.12,2.0,298.99
1.0,8,1424.18,553.63,2.0,1364.17,639.76,2.0,104.97
1.0,9,562.91,645.51,2.0,457.52,814.71,2.0,199.33
1.0,10,747.94,2211.36,2.0,441.67,2152.86,2.0,311.81
1.0,11,1764.9,970.34,2.0,2055.86,821.71,2.0,326.72
1.0,13,846.6,136.55,2.0,522.37,122.52,2.0,324.53
1.0,14,-1.67,1259.46,2.0,-127.05,1265.82,2.0,125.55
1.0,15,1906.5,1411.21,2.0,2143.4,1713.59,2.0,384.13
1.0,16,836.37,1321.72,2.0,628.98,1349.33,2.0,209.22
1.0,17,-190.5,438.9,2.0,-323.48,161.98,2.0,307.19
1.0,18,-70.78,1969.01,2.0,-21.47,2205.29,2.0,241.37
1.0,19,292.4,1154.16,2.0,-122.78,1034.73,2.0,432.02
1.0,20,1182.37,507.19,2.0,997.4,751.06,2.0,306.08
1.0,21,1281.24,-90.79,2.0,1169.91,-93.38,2.0,111.37
1.0,22,-187.09,829.25,2.0,-116.93,578.75,2.0,260.14
1.0,23,1342.84,-229.36,2.0,919.37,-474.97,2.0,489.55
1.0,24,165.04,1218.83,2.0,-93.02,1321.31,2.0,277.66
1.0,25,2177.44,1597.52,2.0,2071.92,1746.21,2.0,182.33
1.0,26,350.85,2090.52,2.0,-398.89,2118.67,2.0,750.27
1.0,27,29.91,-101.42,2.0,-42.95,40.28,2.0,159.33
1.0,28,655.04,319.75,2.0,355.37,248.86,2.0,307.95
1.0,29,2089.36,1716.11,2.0,1946.59,2298.47,2.0,599.6
1.0,30,1482.86,-125.25,2.0,1703.64,34.92,2.0,272.76
1.0,32,1975.06,2129.63,2.0,2408.1,1767.78,2.0,564.33
1.0,33,276.88,80.04,2.0,48.21,195.07,2.0,255.97
1.0,34,771.04,1517.05,2.0,291.78,1104.38,2.0,632.45
1.0,35,1703.23,1414.12,2.0,2065.43,1175.42,2.0,433.77
1.0,36,39.18,2005.9,2.0,-388.67,1744.76,2.0,501.25
1.0,37,617.56,419.38,2.0,767.38,383.96,2.0,153.96
1.0,38,912.27,204.59,2.0,1134.5,218.95,2.0,222.69
1.0,39,1858.06,1552.38,2.0,1832.04,1664.76,2.0,115.35
1.0,41,766.4,-15.95,2.0,358.94,23.18,2.0,409.33
1.0,42,-31.37,194.83,2.0,90.44,-325.17,2.0,534.07
1.0,43,1976.93,956.03,2.0,1833.61,832.46,2.0,189.23
