time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,2.526426,1.064612,FAKE,1
1.0,001-01-0000002,0.803335,1.064612,LEGIT,0
1.0,001-01-0000003,0.717022,1.064612,LEGIT,0
1.0,001-01-0000004,0.731481,1.064612,LEGIT,0
1.0,001-01-0000005,0.814048,1.064612,LEGIT,0
1.0,001-01-0000006,0.88651,1.064612,LEGIT,0
1.0,001-01-0000007,0.841396,1.064612,LEGIT,0
1.0,001-01-0000008,0.937935,1.064612,LEGIT,0
1.0,001-01-0000009,0.693634,1.064612,LEGIT,0
1.0,001-01-0000010,0.897464,1.064612,LEGIT,0
1.0,001-01-0000011,0.686884,1.064612,LEGIT,0
1.0,001-01-0000012,0.842563,1.064612,LEGIT,0
1.0,001-01-0000013,0.850253,1.064612,LEGIT,0
1.0,001-01-0000014,0.898448,1.064612,LEGIT,0
1.0,001-01-0000015,0.967278,1.064612,LEGIT,0
1.0,001-01-0000016,0.825804,1.064612,LEGIT,0
1.0,001-01-0000017,0.774873,1.064612,LEGIT,0
1.0,001-01-0000018,0.744172,1.064612,LEGIT,0
1.0,001-01-0000019,0.866077,1.064612,LEGIT,0
1.0,001-01-0000020,0.861105,1.064612,LEGIT,0
1.0,001-01-0000021,0.953823,1.064612,LEGIT,0
1.0,001-01-0000022,0.865363,1.064612,LEGIT,0
1.0,001-01-0000023,0.8869,1.064612,LEGIT,0
1.0,001-01-0000024,0.986043,1.064612,LEGIT,0
1.0,001-01-0000025,0.722569,1.064612,LEGIT,0
