time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,1,-192.51,1624.49,2.0,-2.02,1758.12,2.0,232.69
1.0,2,1468.55,659.46,2.0,1561.91,374.43,2.0,299.93
1.0,3,1665.01,1822.76,2.0,1569.27,1883.81,2.0,113.54
1.0,4,1433.31,474.67,2.0,1356.29,499.93,2.0,81.05
1.0,5,62.47,485.63,2.0,-16.29,480.13,2.0,78.95
1.0,6,2153.66,762.62,2.0,1642.25,993.71,2.0,561.19
1.0,7,1875.03,1819.11,2.0,2114.55,1665.98,2.0,284.29
1.0,8,1424.18,553.63,2.0,1428.52,559.95,2.0,7.67
1.0,9,562.91,645.51,2.0,470.78,901.05,2.0,271.64
1.0,10,747.94,2211.36,2.0,438.75,2186.61,2.0,310.18
1.0,11,1764.9,970.34,2.0,2016.76,843.6,2.0,281.95
1.0,14,-1.67,1259.46,2.0,-69.88,1377.72,2.0,136.52
1.0,15,1906.5,1411.21,2.0,1883.44,1383.44,2.0,36.1
1.0,16,836.37,1321.72,2.0,695.59,1248.42,2.0,158.72
1.0,17,-190.5,438.9,2.0,-134.87,14.75,2.0,427.78
1.0,18,-70.78,1969.01,2.0,196.74,1918.71,2.0,272.21
1.0,19,292.4,1154.16,2.0,770.32,613.64,2.0,721.51
1.0,20,1182.37,507.19,2.0,1305.15,910.47,2.0,421.55
1.0,21,1281.24,-90.79,2.0,1365.7,-34.34,2.0,101.59
1.0,23,1342.84,-229.36,2.0,967.83,-208.89,2.0,375.57
1.0,24,165.04,1218.83,2.0,212.8,1486.36,2.0,271.76
1.0,25,2177.44,1597.52,2.0,2036.11,1554.6,2.0,147.7
1.0,26,350.85,2090.52,2.0,374.79,2101.82,2.0,26.47
1.0,28,655.04,319.75,2.0,706.94,436.53,2.0,127.8
1.0,29,2089.36,1716.11,2.0,2035.07,1580.41,2.0,146.16
1.0,30,1482.86,-125.25,2.0,1629.59,1.17,2.0,193.68
1.0,32,1975.06,2129.63,2.0,2144.06,1960.46,2.0,239.12
1.0,33,276.88,80.04,2.0,370.73,360.81,2.0,296.04
1.0,34,771.04,1517.05,2.0,862.49,1430.68,2.0,125.79
1.0,35,1703.23,1414.12,2.0,1803.72,1339.56,2.0,125.13
1.0,36,39.18,2005.9,2.0,-22.08,1999.04,2.0,61.65
1.0,37,617.56,419.38,2.0,592.88,457.31,2.0,45.25
