time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,3.183325,1.207093,FAKE,1
1.0,001-01-0000002,0.801584,1.207093,LEGIT,0
1.0,001-01-0000003,0.716098,1.207093,LEGIT,0
1.0,001-01-0000004,0.728113,1.207093,LEGIT,0
1.0,001-01-0000005,0.759567,1.207093,LEGIT,0
1.0,001-01-0000006,0.878078,1.207093,LEGIT,0
1.0,001-01-0000007,0.831086,1.207093,LEGIT,0
1.0,001-01-0000008,0.900242,1.207093,LEGIT,0
1.0,001-01-0000009,0.752395,1.207093,LEGIT,0
1.0,001-01-0000010,0.943713,1.207093,LEGIT,0
1.0,001-01-0000011,0.736155,1.207093,LEGIT,0
1.0,001-01-0000012,0.852957,1.207093,LEGIT,0
1.0,001-01-0000013,0.847212,1.207093,LEGIT,0
1.0,001-01-0000014,0.929448,1.207093,LEGIT,0
1.0,001-01-0000015,0.96361,1.207093,LEGIT,0
1.0,001-01-0000016,0.873112,1.207093,LEGIT,0
1.0,001-01-0000017,0.762227,1.207093,LEGIT,0
1.0,001-01-0000018,0.816804,1.207093,LEGIT,0
1.0,001-01-0000019,0.854715,1.207093,LEGIT,0
1.0,001-01-0000020,0.821489,1.207093,LEGIT,0
1.0,001-01-0000021,0.992522,1.207093,LEGIT,0
1.0,001-01-0000022,0.84892,1.207093,LEGIT,0
1.0,001-01-0000023,0.873074,1.207093,LEGIT,0
1.0,001-01-0000024,0.95106,1.207093,LEGIT,0
1.0,001-01-0000025,0.694913,1.207093,LEGIT,0
