time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,3.152032,1.456035,FAKE,1
1.0,001-01-0000002,0.851011,1.456035,LEGIT,0
1.0,001-01-0000003,0.873075,1.456035,LEGIT,0
1.0,001-01-0000004,0.880251,1.456035,LEGIT,0
1.0,001-01-0000005,0.729873,1.456035,LEGIT,0
1.0,001-01-0000006,0.842383,1.456035,LEGIT,0
1.0,001-01-0000007,0.979523,1.456035,LEGIT,0
1.0,001-01-0000008,1.171468,1.456035,LEGIT,0
1.0,001-01-0000009,1.007139,1.456035,LEGIT,0
1.0,001-01-0000010,1.110779,1.456035,LEGIT,0
1.0,001-01-0000011,0.780368,1.456035,LEGIT,0
1.0,001-01-0000012,0.999148,1.456035,LEGIT,0
1.0,001-01-0000013,1.081553,1.456035,LEGIT,0
1.0,001-01-0000014,1.075814,1.456035,LEGIT,0
1.0,001-01-0000015,1.158293,1.456035,LEGIT,0
1.0,001-01-0000016,0.927105,1.456035,LEGIT,0
1.0,001-01-0000017,0.911105,1.456035,LEGIT,0
1.0,001-01-0000018,1.047089,1.456035,LEGIT,0
1.0,001-01-0000019,1.024196,1.456035,LEGIT,0
1.0,001-01-0000020,1.179348,1.456035,LEGIT,0
1.0,001-01-0000021,1.025106,1.456035,LEGIT,0
1.0,001-01-0000022,1.077841,1.456035,LEGIT,0
1.0,001-01-0000023,1.073389,1.456035,LEGIT,0
1.0,001-01-0000024,1.109718,1.456035,LEGIT,0
1.0,001-01-0000025,0.875969,1.456035,LEGIT,0
