time_sec,imsi,ue_x,ue_y,ue_z,serving_ecgi,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,12,-35.315,129.634,2.000,001-01-0000001,-31.524,15.096,21.904,2
1.000,13,846.596,136.552,2.000,001-01-0000001,-44.304,15.727,14.696,11
1.000,16,836.367,1321.721,2.000,001-01-0000001,-60.509,4.959,2.375,20
1.000,22,-187.095,829.251,2.000,001-01-0000001,-60.582,11.860,6.041,11
1.000,27,29.907,-101.419,2.000,001-01-0000001,-36.927,14.324,24.494,1
1.000,28,655.045,319.745,2.000,001-01-0000001,-55.341,8.841,-2.677,9
1.000,31,-193.474,345.773,2.000,001-01-0000001,-34.431,13.252,20.079,5
1.000,33,276.880,80.043,2.000,001-01-0000001,-56.805,11.571,-4.665,4
1.000,40,401.003,342.762,2.000,001-01-0000001,-38.370,15.116,13.694,7
1.000,42,-31.369,194.832,2.000,001-01-0000001,-43.999,15.728,8.150,3
1.000,47,217.795,-41.145,2.000,001-01-0000001,-45.508,10.951,8.277,3
1.000,57,1224.606,231.631,2.000,001-01-0000001,-55.555,13.075,2.702,16
1.000,59,774.327,-238.919,2.000,001-01-0000001,-51.284,12.109,5.101,10
1.000,61,-116.791,609.156,2.000,001-01-0000001,-57.005,9.814,2.023,8
1.000,67,1405.496,1708.955,2.000,001-01-0000001,-58.248,8.373,-5.091,28
1.000,72,30.792,277.219,2.000,001-01-0000001,-35.876,15.169,13.665,4
1.000,79,-229.856,515.719,2.000,001-01-0000001,-62.019,8.499,2.102,7
1.000,84,1103.147,1693.732,2.000,001-01-0000001,-55.526,11.156,7.011,26
1.000,87,204.402,166.887,2.000,001-01-0000001,-48.771,16.505,6.679,3
1.000,89,-116.786,340.153,2.000,001-01-0000001,-44.680,12.473,3.124,5
1.000,97,59.150,674.338,2.000,001-01-0000001,-49.960,11.324,3.910,9
1.000,105,587.270,1027.288,2.000,001-01-0000001,-50.238,7.729,6.609,15
1.000,126,-224.878,659.139,2.000,001-01-0000001,-57.390,12.419,2.491,9
1.000,132,715.047,72.377,2.000,001-01-0000001,-51.544,14.530,10.707,9
1.000,134,124.474,392.937,2.000,001-01-0000001,-49.053,11.175,5.935,5
1.000,137,58.340,-50.663,2.000,001-01-0000001,-17.640,14.705,40.000,1
1.000,144,-205.930,81.907,2.000,001-01-0000001,-28.701,16.657,39.987,3
1.000,148,832.959,813.336,2.000,001-01-0000001,-51.316,13.664,5.200,15
1.000,164,245.623,570.064,2.000,001-01-0000001,-37.182,11.588,9.607,8
1.000,165,1255.233,-23.931,2.000,001-01-0000001,-58.309,12.653,0.916,16
1.000,172,224.138,288.367,2.000,001-01-0000001,-45.214,12.035,1.339,5
1.000,186,801.536,1260.059,2.000,001-01-0000001,-59.129,11.553,1.549,19
1.000,189,-168.394,-167.429,2.000,001-01-0000001,-42.969,13.774,17.791,3
1.000,190,359.736,46.935,2.000,001-01-0000001,-36.231,15.518,12.657,5
1.000,195,1243.625,-66.683,2.000,001-01-0000001,-58.600,6.614,-3.064,16
1.000,197,1050.590,690.873,2.000,001-01-0000001,-59.163,10.096,-1.791,16
