time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,1,-192.51,1624.49,2.0,-0.01,1026.54,2.0,628.17
1.0,2,1468.55,659.46,2.0,1493.39,360.16,2.0,300.33
1.0,3,1665.01,1822.76,2.0,1559.54,1878.53,2.0,119.31
1.0,4,1433.31,474.67,2.0,1356.27,499.93,2.0,81.07
1.0,5,62.47,485.63,2.0,-16.25,480.1,2.0,78.91
1.0,6,2153.66,762.62,2.0,1642.25,993.7,2.0,561.19
1.0,7,1875.03,1819.11,2.0,2112.78,1667.19,2.0,282.15
1.0,8,1424.18,553.63,2.0,1426.29,557.19,2.0,4.13
1.0,9,562.91,645.51,2.0,469.59,901.41,2.0,272.38
1.0,10,747.94,2211.36,2.0,438.75,2186.61,2.0,310.18
1.0,11,1764.9,970.34,2.0,2006.72,842.85,2.0,273.37
1.0,14,-1.67,1259.46,2.0,-68.17,1376.76,2.0,134.84
1.0,15,1906.5,1411.21,2.0,1883.44,1383.44,2.0,36.1
1.0,17,-190.5,438.9,2.0,-134.87,14.75,2.0,427.78
1.0,18,-70.78,1969.01,2.0,196.74,1918.69,2.0,272.21
1.0,19,292.4,1154.16,2.0,770.3,613.6,2.0,721.53
1.0,20,1182.37,507.19,2.0,1305.89,908.86,2.0,420.23
1.0,21,1281.24,-90.79,2.0,1365.49,-33.52,2.0,101.88
1.0,23,1342.84,-229.36,2.0,963.14,-208.11,2.0,380.3
1.0,24,165.04,1218.83,2.0,299.94,1293.48,2.0,154.18
1.0,25,2177.44,1597.52,2.0,2032.93,1556.57,2.0,150.2
1.0,26,350.85,2090.52,2.0,373.15,2099.77,2.0,24.14
1.0,29,2089.36,1716.11,2.0,2033.78,1580.95,2.0,146.14
1.0,30,1482.86,-125.25,2.0,1629.58,1.27,2.0,193.74
1.0,32,1975.06,2129.63,2.0,2139.97,1947.81,2.0,245.47
1.0,34,771.04,1517.05,2.0,863.84,1428.06,2.0,128.57
1.0,35,1703.23,1414.12,2.0,1257.13,1255.23,2.0,473.55
1.0,36,39.18,2005.9,2.0,-22.07,1998.73,2.0,61.66
1.0,37,617.56,419.38,2.0,428.01,426.96,2.0,189.7
1.0,38,912.27,204.59,2.0,1064.57,179.32,2.0,154.39
1.0,39,1858.06,1552.38,2.0,1921.81,1558.31,2.0,64.03
1.0,41,766.4,-15.95,2.0,832.84,-32.97,2.0,68.59
